WDPAID,median,upper,lower
36673,0.196,0.32,0.13
26456,0.524,0.645,0.376
36497,0.19,0.29,0.134
20978,0.215,0.328,0.143
300869,0.443,0.617,0.363
40781,0.341,0.502,0.22
26451,0.283,0.376,0.201
555547525,0.418,0.651,0.31
40766,0.352,0.529,0.206
9034,0.254,0.348,0.217
29534,0.481,0.691,0.406
40767,0.352,0.529,0.206
555547523,0.416,0.611,0.251
3214,0.416,0.611,0.251
36752,0.288,0.479,0.185
26440,0.361,0.489,0.226
36953,0.383,0.489,0.307
37021,0.371,0.461,0.293
36858,0.366,0.481,0.281
36770,0.274,0.429,0.18
36845,0.254,0.38,0.171
72350,0.205,0.256,0.148
36268,0.263,0.447,0.194
36860,0.358,0.464,0.276
300911,0.429,0.632,0.342
36562,0.153,0.213,0.118
40845,0.327,0.457,0.239
354003,0.361,0.497,0.283
36919,0.354,0.477,0.276
40672,0.357,0.505,0.261
40768,0.332,0.502,0.201
40769,0.342,0.521,0.21
36629,0.268,0.396,0.181
36921,0.392,0.492,0.316
36769,0.27,0.416,0.179
300895,0.491,0.684,0.388
37119,0.194,0.259,0.153
36729,0.339,0.526,0.195
36818,0.339,0.434,0.281
37012,0.371,0.461,0.293
37121,0.323,0.46,0.22
7957,0.268,0.394,0.158
5159,0.339,0.466,0.247
36964,0.415,0.533,0.345
36957,0.415,0.533,0.345
26454,0.524,0.645,0.376
29580,0.445,0.627,0.385
67727,0.184,0.233,0.134
9024,0.186,0.246,0.137
40792,0.341,0.483,0.25
36847,0.285,0.402,0.202
40793,0.341,0.474,0.243
36439,0.183,0.267,0.136
40691,0.347,0.499,0.27
36743,0.326,0.461,0.245
37026,0.405,0.504,0.328
36586,0.274,0.418,0.186
36476,0.193,0.276,0.125
36872,0.34,0.501,0.255
36962,0.383,0.489,0.307
36853,0.293,0.422,0.199
36945,0.36,0.456,0.286
26455,0.524,0.645,0.376
36949,0.379,0.479,0.302
36842,0.341,0.414,0.286
36834,0.328,0.41,0.276
36644,0.19,0.261,0.12
36645,0.182,0.258,0.122
36935,0.358,0.457,0.291
