WDPAID,median,upper,lower
36673,0.118,0.222,0.094
26456,0.292,0.468,0.228
36497,0.115,0.159,0.087
20978,0.14,0.242,0.12
300869,0.308,0.451,0.242
40781,0.207,0.282,0.177
26451,0.158,0.214,0.135
555547525,0.252,0.335,0.201
40766,0.205,0.284,0.173
9034,0.164,0.212,0.139
29534,0.295,0.383,0.242
40767,0.205,0.284,0.173
555547523,0.18,0.275,0.098
3214,0.18,0.275,0.098
36752,0.162,0.299,0.102
26440,0.188,0.241,0.163
36953,0.196,0.299,0.158
37021,0.175,0.292,0.145
36858,0.192,0.273,0.162
36770,0.132,0.222,0.111
36845,0.158,0.235,0.13
72350,0.414,0.558,0.304
36268,0.135,0.209,0.099
36860,0.185,0.267,0.158
300911,0.242,0.339,0.201
36562,0.112,0.137,0.081
40845,0.185,0.273,0.154
354003,0.225,0.38,0.187
36919,0.211,0.361,0.178
40672,0.195,0.284,0.152
40768,0.191,0.263,0.163
40769,0.206,0.288,0.173
36629,0.137,0.261,0.086
36921,0.215,0.337,0.164
36769,0.137,0.211,0.112
300895,0.285,0.388,0.232
37119,0.194,0.25,0.163
36729,0.241,0.412,0.184
36818,0.186,0.298,0.154
37012,0.175,0.292,0.145
37121,0.191,0.343,0.153
7957,0.171,0.302,0.137
5159,0.206,0.281,0.176
36964,0.23,0.343,0.182
36957,0.23,0.343,0.182
26454,0.292,0.468,0.228
29580,0.311,0.444,0.26
67727,0.38,0.516,0.245
9024,0.377,0.515,0.243
40792,0.193,0.29,0.156
36847,0.172,0.231,0.145
40793,0.197,0.301,0.164
36439,0.116,0.172,0.085
40691,0.174,0.254,0.133
36743,0.176,0.295,0.119
37026,0.208,0.315,0.165
36586,0.139,0.281,0.091
36476,0.108,0.189,0.079
36872,0.233,0.398,0.161
36962,0.196,0.299,0.158
36853,0.173,0.246,0.144
36945,0.204,0.313,0.166
26455,0.292,0.468,0.228
36949,0.2,0.3,0.164
36842,0.174,0.278,0.148
36834,0.161,0.234,0.134
36644,0.111,0.153,0.084
36645,0.114,0.15,0.092
36935,0.199,0.29,0.161
36841,0.17,0.239,0.149
36773,0.131,0.257,0.105
555556068,0.31,0.354,0.239
7864,0.154,0.253,0.109
