WDPAID,median,upper,lower
36673,0.253,0.453,0.108
26456,0.558,0.809,0.375
36497,0.262,0.354,0.157
20978,0.232,0.436,0.123
300869,0.541,0.742,0.426
40781,0.412,0.62,0.239
26451,0.328,0.504,0.193
555547525,0.513,0.768,0.351
40766,0.358,0.64,0.188
9034,0.17,0.211,0.119
29534,0.538,0.746,0.406
40767,0.358,0.64,0.188
555547523,0.367,0.566,0.177
3214,0.367,0.566,0.177
36752,0.392,0.638,0.219
26440,0.444,0.668,0.257
36953,0.396,0.545,0.251
37021,0.394,0.538,0.262
36858,0.341,0.556,0.161
36770,0.355,0.577,0.108
36845,0.272,0.516,0.105
72350,0.325,0.511,0.135
36268,0.317,0.444,0.242
36860,0.339,0.527,0.18
300911,0.515,0.717,0.367
36562,0.202,0.422,0.102
40845,0.409,0.611,0.266
354003,0.332,0.536,0.171
36919,0.311,0.513,0.165
40672,0.397,0.581,0.28
40768,0.344,0.618,0.182
40769,0.342,0.569,0.123
36629,0.36,0.563,0.166
36921,0.399,0.596,0.24
36769,0.338,0.557,0.105
300895,0.574,0.761,0.448
37119,0.211,0.288,0.159
36729,0.436,0.827,0.188
36818,0.393,0.548,0.241
37012,0.394,0.538,0.262
37121,0.424,0.666,0.252
7957,0.379,0.568,0.141
5159,0.402,0.651,0.252
36964,0.435,0.615,0.261
36957,0.435,0.615,0.261
26454,0.558,0.809,0.375
29580,0.547,0.768,0.422
67727,0.175,0.365,0.059
9024,0.168,0.36,0.066
40792,0.399,0.59,0.279
36847,0.287,0.485,0.126
40793,0.409,0.599,0.281
36439,0.235,0.363,0.126
40691,0.407,0.578,0.232
36743,0.403,0.595,0.23
37026,0.45,0.586,0.295
36586,0.387,0.594,0.227
36476,0.226,0.369,0.095
36872,0.47,0.723,0.326
36962,0.396,0.545,0.251
36853,0.299,0.522,0.12
36945,0.34,0.513,0.185
26455,0.558,0.809,0.375
36949,0.393,0.544,0.24
36842,0.352,0.507,0.205
36834,0.348,0.496,0.24
36644,0.277,0.425,0.131
36645,0.259,0.39,0.12
36935,0.35,0.507,0.187
36841,0.348,0.516,0.209
36773,0.324,0.457,0.148
555556068,0.205,0.343,0.121
7864,0.369,0.609,0.211
36556,0.375,0.626,0.212
36253,0.32,0.458,0.231
36484,0.237,0.361,0.116
36859,0.341,0.556,0.161
37122,0.493,0.754,0.362
40747,0.401,0.683,0.201
36736,0.414,0.619,0.256
303944,0.299,0.453,0.125
36661,0.258,0.422,0.106
37123,0.473,0.754,0.336
36934,0.348,0.528,0.191
7845,0.348,0.528,0.191
300915,0.529,0.738,0.355
36538,0.2,0.458,0.105
36401,0.166,0.265,0.088
36620,0.421,0.71,0.234
40853,0.427,0.636,0.29
29520,0.341,0.559,0.146
40846,0.464,0.636,0.299
26457,0.409,0.611,0.266
37124,0.397,0.523,0.147
36654,0.252,0.396,0.13
40826,0.427,0.577,0.157
303940,0.34,0.645,0.128
67970,NA,NA,NA
2327,0.175,0.368,0.056
40860,0.4,0.596,0.247
40861,0.4,0.596,0.247
36886,0.447,0.642,0.3
37125,0.152,0.393,0.083
555558303,0.249,0.518,0.088
40673,0.483,0.671,0.309
40748,0.342,0.569,0.123
40877,0.43,0.614,0.298
26505,0.348,0.626,0.169
903104,NA,NA,NA
37034,NA,NA,NA
36823,0.272,0.414,0.172
36816,0.399,0.668,0.222
4488,0.303,0.559,0.159
9264,0.321,0.587,0.13
300881,0.517,0.738,0.388
26572,0.4,0.596,0.247
37126,0.46,0.674,0.295
37128,0.324,0.577,0.169
26463,0.423,0.618,0.244
40698,0.407,0.578,0.232
40699,0.412,0.605,0.238
36670,0.253,0.453,0.108
37129,0.229,0.543,0.084
40770,0.341,0.568,0.123
40771,0.358,0.64,0.188
40772,0.344,0.578,0.126
40749,0.401,0.683,0.201
26506,0.42,0.645,0.148
2254,0.233,0.411,0.094
37130,0.211,0.288,0.159
5160,0.207,0.433,0.118
40878,0.416,0.619,0.293
37131,0.324,0.577,0.169
36865,0.285,0.455,0.151
300960,0.341,0.559,0.146
36442,0.298,0.409,0.173
40794,0.409,0.599,0.281
36435,0.261,0.376,0.141
36929,0.318,0.486,0.188
36969,0.418,0.551,0.253
37039,0.432,0.73,0.286
40773,0.379,0.658,0.195
36674,0.253,0.453,0.108
7522,0.419,0.684,0.218
36263,0.332,0.389,0.224
36239,0.271,0.435,0.159
36181,0.262,0.392,0.143
36754,0.376,0.546,0.19
300821,0.381,0.592,0.273
28559,0.261,0.477,0.123
36201,0.381,0.518,0.196
29409,0.539,0.766,0.211
29069,0.538,0.766,0.21
29549,0.236,0.471,0.11
2322,0.318,0.777,0.071
29605,0.173,0.357,0.105
317194,0.319,0.663,0.088
36224,0.282,0.496,0.16
36869,0.406,0.628,0.194
33510,0.228,0.422,0.141
36436,0.288,0.399,0.166
36498,0.262,0.354,0.157
36704,0.317,0.563,0.096
36347,0.167,0.468,0.072
5164,0.216,0.436,0.125
36899,0.198,0.31,0.121
36647,0.242,0.395,0.115
36321,0.32,0.458,0.231
36711,0.43,0.673,0.257
29435,0.274,0.406,0.152
40700,0.407,0.578,0.232
36342,0.16,0.391,0.079
300807,0.162,0.329,0.087
29425,0.236,0.367,0.137
36427,0.241,0.352,0.133
29453,0.22,0.342,0.133
28568,0.301,0.548,0.127
725,0.341,0.559,0.146
40862,0.396,0.599,0.246
29615,0.438,0.547,0.177
300794,0.331,0.514,0.128
29417,0.278,0.402,0.15
29380,0.593,0.83,0.391
555556061,0.227,0.511,0.076
28569,0.241,0.492,0.113
36730,0.392,0.675,0.227
29367,0.209,0.363,0.125
555556058,0.201,0.392,0.102
145529,0.463,0.708,0.26
2328,0.303,0.806,0.086
37132,0.444,0.634,0.287
28551,0.253,0.525,0.109
36475,0.234,0.463,0.091
36288,0.39,0.523,0.18
36265,0.332,0.389,0.224
352617,0.491,0.923,0.09
37133,0.315,0.532,0.126
29446,0.282,0.609,0.155
28534,0.214,0.474,0.106
37134,0.209,0.345,0.092
36458,0.267,0.457,0.17
37136,0.355,0.487,0.159
868,NA,NA,NA
903105,0.302,0.396,0.202
7872,0.301,0.403,0.2
36170,0.208,0.388,0.113
36418,0.414,0.623,0.251
300905,0.416,0.645,0.189
300892,0.472,0.68,0.318
36202,0.332,0.389,0.224
31330,0.463,0.708,0.26
300776,0.159,0.343,0.094
29375,0.228,0.422,0.141
40795,0.409,0.599,0.281
37137,0.31,0.464,0.127
36604,0.434,0.744,0.241
29500,0.467,0.658,0.311
36336,0.149,0.433,0.059
32995,0.228,0.462,0.113
29373,0.244,0.452,0.169
352627,0.529,0.839,0.141
40796,0.399,0.579,0.279
40848,0.427,0.626,0.253
40849,0.409,0.574,0.197
300836,0.348,0.626,0.169
36440,0.29,0.428,0.165
300813,0.436,0.613,0.208
28560,0.285,0.537,0.106
29514,0.516,0.721,0.363
303952,0.508,0.706,0.328
40752,0.44,0.663,0.246
40811,0.472,0.675,0.338
303960,0.509,0.708,0.33
40812,0.508,0.707,0.331
672,0.476,0.683,0.34
5150,0.476,0.683,0.34
36233,0.252,0.444,0.131
36598,0.36,0.563,0.166
36692,0.245,0.399,0.118
303948,0.391,0.595,0.257
40730,0.407,0.582,0.279
5168,0.379,0.659,0.211
29394,0.201,0.361,0.099
