WDPAID,median,upper,lower
36673,0.217,0.334,0.146
26456,0.454,0.59,0.331
36497,0.152,0.243,0.121
20978,0.216,0.358,0.16
300869,0.43,0.542,0.361
40781,0.362,0.473,0.26
26451,0.268,0.347,0.195
555547525,0.404,0.541,0.313
40766,0.368,0.482,0.241
9034,0.222,0.279,0.187
29534,0.429,0.539,0.371
40767,0.368,0.482,0.241
555547523,0.315,0.468,0.182
3214,0.315,0.468,0.182
36752,0.296,0.381,0.188
26440,0.334,0.435,0.238
36953,0.31,0.451,0.221
37021,0.286,0.382,0.222
36858,0.341,0.494,0.223
36770,0.253,0.423,0.153
36845,0.234,0.413,0.152
72350,0.488,0.583,0.332
36268,0.203,0.336,0.144
36860,0.321,0.457,0.216
300911,0.39,0.541,0.333
36562,0.158,0.298,0.117
40845,0.316,0.446,0.261
354003,0.36,0.484,0.253
36919,0.349,0.465,0.241
40672,0.328,0.482,0.26
40768,0.346,0.456,0.229
40769,0.342,0.476,0.234
36629,0.255,0.348,0.147
36921,0.351,0.463,0.247
36769,0.254,0.432,0.153
300895,0.428,0.546,0.373
37119,0.229,0.286,0.206
36729,0.353,0.439,0.211
36818,0.295,0.397,0.235
37012,0.286,0.382,0.222
37121,0.33,0.46,0.24
7957,0.298,0.405,0.184
5159,0.329,0.426,0.245
36964,0.353,0.509,0.26
36957,0.353,0.509,0.26
26454,0.454,0.59,0.331
29580,0.433,0.526,0.362
67727,0.424,0.494,0.297
9024,0.415,0.489,0.308
40792,0.329,0.459,0.258
36847,0.272,0.459,0.183
40793,0.338,0.457,0.264
36439,0.159,0.237,0.124
40691,0.282,0.428,0.22
36743,0.315,0.396,0.209
37026,0.344,0.448,0.251
36586,0.261,0.337,0.164
36476,0.154,0.25,0.117
36872,0.371,0.443,0.269
36962,0.31,0.451,0.221
36853,0.291,0.496,0.187
36945,0.327,0.445,0.233
26455,0.454,0.59,0.331
36949,0.311,0.434,0.224
36842,0.265,0.346,0.219
36834,0.252,0.33,0.206
36644,0.196,0.302,0.124
36645,0.192,0.28,0.132
36935,0.321,0.443,0.225
36841,0.272,0.359,0.221
36773,0.233,0.365,0.149
555556068,0.38,0.431,0.316
7864,0.269,0.344,0.177
36556,0.273,0.351,0.177
36253,0.185,0.285,0.143
36484,0.158,0.246,0.119
36859,0.341,0.494,0.223
37122,0.363,0.477,0.291
40747,0.371,0.49,0.239
36736,0.293,0.374,0.201
303944,0.21,0.336,0.126
36661,0.192,0.291,0.131
37123,0.361,0.47,0.286
36934,0.326,0.477,0.237
7845,0.326,0.477,0.237
300915,0.412,0.537,0.352
36538,0.16,0.301,0.122
36401,0.15,0.232,0.11
36620,0.296,0.386,0.179
40853,0.289,0.466,0.232
29520,0.217,0.314,0.149
40846,0.373,0.49,0.293
26457,0.316,0.446,0.261
37124,0.295,0.425,0.177
36654,0.195,0.294,0.14
40826,0.23,0.295,0.17
303940,0.252,0.383,0.147
67970,NA,NA,NA
2327,0.307,0.4,0.195
40860,0.344,0.46,0.246
40861,0.344,0.46,0.246
36886,0.368,0.447,0.275
37125,0.197,0.368,0.163
555558303,0.225,0.303,0.155
40673,0.388,0.507,0.301
40748,0.342,0.476,0.234
40877,0.315,0.489,0.259
26505,0.304,0.469,0.203
903104,NA,NA,NA
37034,NA,NA,NA
36823,0.235,0.296,0.201
36816,0.328,0.436,0.258
4488,0.19,0.352,0.122
9264,0.194,0.356,0.123
300881,0.413,0.558,0.336
26572,0.344,0.46,0.246
37126,0.346,0.447,0.264
37128,0.29,0.439,0.198
26463,0.259,0.385,0.2
40698,0.282,0.428,0.22
40699,0.258,0.386,0.203
36670,0.217,0.334,0.146
37129,0.245,0.425,0.187
40770,0.34,0.472,0.232
40771,0.368,0.482,0.241
40772,0.343,0.472,0.231
40749,0.371,0.49,0.239
26506,0.323,0.466,0.182
2254,0.152,0.273,0.113
37130,0.229,0.286,0.206
5160,0.171,0.292,0.134
40878,0.32,0.481,0.262
37131,0.29,0.439,0.198
36865,0.299,0.428,0.224
300960,0.217,0.314,0.149
36442,0.181,0.315,0.125
40794,0.338,0.457,0.264
36435,0.163,0.265,0.124
36929,0.297,0.444,0.22
36969,0.317,0.404,0.239
37039,0.352,0.45,0.272
40773,0.373,0.489,0.244
36674,0.217,0.334,0.146
7522,0.279,0.398,0.156
36263,0.21,0.335,0.149
36239,0.202,0.324,0.129
36181,0.205,0.304,0.154
36754,0.272,0.362,0.182
300821,0.267,0.461,0.212
28559,0.213,0.338,0.141
36201,0.194,0.273,0.149
29409,0.371,0.479,0.264
29069,0.37,0.479,0.264
29549,0.219,0.389,0.15
2322,0.289,0.549,0.148
29605,0.189,0.295,0.155
317194,0.263,0.406,0.157
36224,0.26,0.356,0.147
36869,0.334,0.48,0.21
33510,0.25,0.331,0.17
36436,0.174,0.22,0.143
36498,0.152,0.243,0.121
36704,0.21,0.364,0.138
36347,0.193,0.363,0.144
5164,0.205,0.306,0.165
36899,0.285,0.329,0.237
36647,0.196,0.29,0.151
36321,0.185,0.285,0.143
36711,0.32,0.392,0.212
29435,0.228,0.262,0.193
40700,0.282,0.428,0.22
36342,0.185,0.324,0.141
300807,0.218,0.346,0.19
29425,0.225,0.314,0.193
36427,0.16,0.252,0.124
29453,0.258,0.393,0.215
28568,0.209,0.365,0.142
725,0.217,0.314,0.149
40862,0.344,0.455,0.247
29615,0.333,0.447,0.201
300794,0.269,0.435,0.178
29417,0.259,0.308,0.215
29380,0.431,0.697,0.332
555556061,0.194,0.326,0.128
28569,0.179,0.342,0.133
36730,0.322,0.405,0.227
29367,0.274,0.358,0.22
555556058,0.182,0.314,0.152
145529,0.33,0.506,0.241
2328,0.309,0.591,0.173
37132,0.31,0.42,0.236
28551,0.181,0.356,0.134
36475,0.168,0.302,0.121
36288,0.182,0.248,0.145
36265,0.21,0.335,0.149
