WDPAID,median,upper,lower
36673,0.113,0.207,0.096
26456,0.348,0.528,0.249
36497,0.134,0.183,0.106
20978,0.128,0.252,0.094
300869,0.329,0.451,0.222
40781,0.175,0.261,0.14
26451,0.157,0.206,0.136
555547525,0.27,0.356,0.196
40766,0.179,0.261,0.156
9034,0.21,0.282,0.191
29534,0.341,0.439,0.254
40767,0.179,0.261,0.156
555547523,0.257,0.387,0.112
3214,0.257,0.387,0.112
36752,0.162,0.268,0.126
26440,0.182,0.24,0.147
36953,0.276,0.371,0.245
37021,0.257,0.383,0.205
36858,0.248,0.304,0.225
36770,0.176,0.232,0.15
36845,0.178,0.24,0.149
72350,0.154,0.223,0.113
36268,0.168,0.217,0.139
36860,0.24,0.286,0.219
300911,0.278,0.417,0.195
36562,0.121,0.158,0.087
40845,0.194,0.292,0.149
354003,0.268,0.392,0.244
36919,0.257,0.377,0.237
40672,0.218,0.323,0.179
40768,0.169,0.244,0.147
40769,0.195,0.27,0.159
36629,0.16,0.267,0.118
36921,0.286,0.376,0.254
36769,0.179,0.23,0.147
300895,0.332,0.431,0.236
37119,0.156,0.238,0.128
36729,0.233,0.351,0.176
36818,0.256,0.328,0.215
37012,0.257,0.383,0.205
37121,0.187,0.341,0.151
7957,0.152,0.297,0.09
5159,0.209,0.286,0.174
36964,0.305,0.403,0.266
36957,0.305,0.403,0.266
26454,0.348,0.528,0.249
29580,0.335,0.456,0.256
67727,0.146,0.208,0.12
9024,0.148,0.212,0.124
40792,0.209,0.31,0.166
36847,0.2,0.244,0.166
40793,0.203,0.301,0.155
36439,0.136,0.206,0.113
40691,0.229,0.319,0.184
36743,0.202,0.281,0.146
37026,0.296,0.396,0.254
36586,0.16,0.265,0.122
36476,0.13,0.198,0.1
36872,0.237,0.34,0.173
36962,0.276,0.371,0.245
36853,0.199,0.253,0.165
36945,0.25,0.313,0.225
26455,0.348,0.528,0.249
36949,0.279,0.375,0.242
36842,0.262,0.373,0.22
36834,0.245,0.31,0.221
36644,0.119,0.162,0.078
36645,0.115,0.146,0.085
36935,0.255,0.308,0.23
36841,0.241,0.281,0.217
36773,0.112,0.234,0.083
555556068,0.242,0.297,0.163
7864,0.162,0.223,0.121
36556,0.165,0.23,0.124
36253,0.185,0.258,0.132
36484,0.135,0.211,0.106
36859,0.248,0.304,0.225
37122,0.241,0.397,0.176
40747,0.204,0.272,0.173
36736,0.186,0.298,0.145
303944,0.121,0.243,0.084
36661,0.108,0.139,0.08
37123,0.238,0.409,0.178
36934,0.264,0.309,0.242
7845,0.264,0.309,0.242
300915,0.323,0.4,0.245
36538,0.134,0.176,0.107
36401,0.128,0.158,0.107
36620,0.19,0.283,0.146
40853,0.206,0.299,0.157
29520,0.201,0.257,0.137
40846,0.245,0.352,0.188
26457,0.194,0.292,0.149
37124,0.134,0.279,0.097
36654,0.116,0.15,0.097
40826,0.195,0.319,0.13
303940,0.164,0.255,0.102
67970,NA,NA,NA
2327,0.207,0.281,0.145
40860,0.183,0.295,0.146
40861,0.183,0.295,0.146
36886,0.258,0.341,0.218
37125,0.128,0.203,0.107
555558303,0.125,0.189,0.1
40673,0.261,0.359,0.199
40748,0.195,0.27,0.159
40877,0.227,0.315,0.179
26505,0.145,0.256,0.115
903104,NA,NA,NA
37034,NA,NA,NA
36823,0.222,0.264,0.142
36816,0.229,0.318,0.183
4488,0.12,0.222,0.098
9264,0.124,0.227,0.095
300881,0.282,0.383,0.182
26572,0.183,0.295,0.146
37126,0.213,0.338,0.166
37128,0.149,0.267,0.125
26463,0.206,0.299,0.159
40698,0.229,0.319,0.184
40699,0.208,0.296,0.162
36670,0.113,0.207,0.096
37129,0.119,0.266,0.09
40770,0.192,0.268,0.157
40771,0.179,0.261,0.156
40772,0.188,0.263,0.154
40749,0.204,0.272,0.173
26506,0.13,0.282,0.096
2254,0.106,0.18,0.081
37130,0.156,0.238,0.128
5160,0.101,0.16,0.078
40878,0.206,0.298,0.163
37131,0.149,0.267,0.125
36865,0.226,0.271,0.196
300960,0.201,0.257,0.137
36442,0.127,0.188,0.103
40794,0.203,0.301,0.155
36435,0.144,0.193,0.117
36929,0.266,0.326,0.247
36969,0.293,0.393,0.248
37039,0.238,0.342,0.189
40773,0.186,0.263,0.158
36674,0.113,0.207,0.096
7522,0.197,0.279,0.114
36263,0.177,0.246,0.141
36239,0.134,0.279,0.098
36181,0.203,0.266,0.154
36754,0.156,0.241,0.123
300821,0.23,0.321,0.156
28559,0.148,0.257,0.109
36201,0.208,0.27,0.135
29409,0.284,0.396,0.194
29069,0.282,0.395,0.193
29549,0.148,0.289,0.103
2322,0.211,0.33,0.163
29605,0.14,0.24,0.109
317194,0.172,0.273,0.126
36224,0.175,0.399,0.123
36869,0.217,0.272,0.161
33510,0.171,0.247,0.121
36436,0.145,0.199,0.121
36498,0.134,0.183,0.106
36704,0.125,0.211,0.087
36347,0.173,0.392,0.144
5164,0.15,0.195,0.122
36899,0.205,0.248,0.165
36647,0.115,0.179,0.092
36321,0.185,0.258,0.132
36711,0.157,0.231,0.107
29435,0.147,0.214,0.117
40700,0.229,0.319,0.184
36342,0.184,0.314,0.168
300807,0.13,0.17,0.111
29425,0.138,0.294,0.096
36427,0.141,0.19,0.123
29453,0.196,0.272,0.172
28568,0.145,0.236,0.12
725,0.201,0.257,0.137
40862,0.177,0.284,0.144
