WDPAID,median,upper,lower
29375,0.298,0.353,0.253
40795,0.438,0.558,0.363
37137,0.327,0.423,0.196
36604,0.375,0.522,0.191
29500,0.456,0.562,0.365
36336,0.329,0.58,0.172
32995,0.29,0.391,0.167
29373,0.33,0.414,0.265
352627,0.608,0.824,0.329
40796,0.441,0.533,0.347
40848,0.395,0.582,0.321
40849,0.33,0.407,0.28
300836,0.388,0.509,0.317
36440,0.23,0.361,0.146
300813,0.442,0.542,0.325
28560,0.354,0.489,0.217
29514,0.471,0.575,0.368
303952,0.469,0.579,0.39
40752,0.449,0.571,0.367
40811,0.45,0.559,0.367
303960,0.47,0.579,0.391
40812,0.467,0.576,0.389
672,0.452,0.566,0.368
5150,0.452,0.566,0.368
36233,0.325,0.653,0.156
36598,0.319,0.495,0.223
36692,0.279,0.405,0.178
303948,0.362,0.489,0.218
40730,0.418,0.492,0.348
5168,0.362,0.734,0.188
29394,0.34,0.443,0.254
40798,0.442,0.536,0.346
40797,0.442,0.536,0.346
36374,0.249,0.346,0.153
36269,0.278,0.504,0.162
36468,0.208,0.307,0.145
36900,0.308,0.388,0.271
28536,0.312,0.586,0.161
300797,0.376,0.476,0.254
26462,0.432,0.526,0.323
40863,0.464,0.582,0.365
40814,0.398,0.47,0.337
29535,0.496,0.593,0.361
36496,0.227,0.349,0.144
342670,0.424,0.606,0.297
11609,0.424,0.606,0.297
40835,0.344,0.411,0.294
40834,0.313,0.39,0.254
29983,0.42,0.492,0.343
36361,0.21,0.277,0.157
300861,0.472,0.572,0.346
29585,NA,NA,NA
26441,0.399,0.481,0.243
5155,0.452,0.574,0.359
40864,0.452,0.574,0.359
555512167,0.347,0.497,0.267
300887,0.504,0.568,0.367
40753,0.462,0.585,0.381
40850,0.36,0.453,0.308
40827,0.33,0.407,0.28
40754,0.464,0.58,0.383
4489,0.258,0.426,0.158
36621,0.367,0.504,0.204
303941,0.327,0.443,0.18
36573,0.292,0.393,0.178
29644,0.375,0.475,0.254
40755,0.443,0.558,0.367
40871,0.401,0.513,0.302
36606,0.375,0.522,0.191
40674,0.43,0.545,0.356
29339,0.338,0.435,0.261
300880,0.493,0.593,0.366
313432,0.291,0.483,0.164
597,0.272,0.412,0.148
28545,0.301,0.478,0.17
29419,0.265,0.326,0.221
352619,0.583,0.781,0.342
28561,0.345,0.46,0.211
300768,0.307,0.449,0.208
313430,0.291,0.483,0.164
28562,0.361,0.503,0.217
40856,0.405,0.489,0.337
29497,0.487,0.572,0.372
40731,NA,NA,NA
36763,0.348,0.51,0.241
36397,0.212,0.275,0.159
671,0.388,0.477,0.255
40890,0.342,0.434,0.277
36272,0.252,0.415,0.165
36522,0.206,0.278,0.165
36530,0.225,0.257,0.184
303953,0.342,0.434,0.277
36768,0.358,0.478,0.216
40854,0.416,0.492,0.337
36508,0.285,0.414,0.156
36499,0.264,0.393,0.161
36226,0.298,0.51,0.168
36400,0.348,0.483,0.22
36535,0.249,0.297,0.165
40887,0.432,0.502,0.281
36294,0.231,0.326,0.163
300726,0.325,0.431,0.176
342659,0.466,0.699,0.324
342661,0.473,0.707,0.329
351088,0.325,0.44,0.275
33049,0.325,0.44,0.275
40828,NA,NA,NA
36631,0.346,0.529,0.213
36726,0.375,0.493,0.205
36688,0.355,0.488,0.212
26507,0.366,0.459,0.229
26535,0.363,0.578,0.188
342671,0.384,0.526,0.266
26536,0.298,0.431,0.166
36651,0.296,0.406,0.214
36649,0.296,0.406,0.214
36412,0.232,0.357,0.165
40892,0.442,0.563,0.384
40675,0.43,0.545,0.356
40774,0.469,0.578,0.367
36844,0.397,0.538,0.264
29424,0.292,0.376,0.242
300739,0.265,0.431,0.198
300778,0.291,0.456,0.217
300783,0.345,0.453,0.205
300784,0.314,0.471,0.222
300787,0.345,0.453,0.205
300788,0.341,0.474,0.224
300791,0.363,0.447,0.216
300792,0.393,0.472,0.242
300802,0.391,0.477,0.248
300804,0.414,0.544,0.313
300805,0.393,0.52,0.3
300741,0.313,0.445,0.196
300806,0.437,0.56,0.306
300811,0.423,0.557,0.307
300812,0.497,0.583,0.352
300816,0.393,0.52,0.3
300817,0.403,0.544,0.315
300819,0.432,0.556,0.335
300820,0.37,0.545,0.253
300822,0.422,0.554,0.333
300823,0.421,0.558,0.324
300827,0.422,0.554,0.333
300755,0.337,0.442,0.207
300828,0.53,0.606,0.401
300830,0.461,0.562,0.319
300831,0.421,0.558,0.324
300833,0.481,0.641,0.338
300834,0.375,0.55,0.277
300835,0.48,0.642,0.337
300837,0.475,0.563,0.345
300839,0.421,0.558,0.324
300840,0.491,0.626,0.395
300843,0.484,0.626,0.379
300756,0.333,0.439,0.203
300844,0.488,0.566,0.364
300846,0.495,0.638,0.39
300847,0.538,0.652,0.412
300848,0.507,0.633,0.399
300849,0.495,0.638,0.39
300851,0.468,0.572,0.346
300852,0.472,0.572,0.346
300854,0.5,0.615,0.369
300855,0.472,0.572,0.346
300856,0.481,0.561,0.35
300770,0.279,0.455,0.206
300857,0.487,0.569,0.366
300859,0.481,0.561,0.35
300860,0.473,0.581,0.362
300864,0.509,0.628,0.396
300865,0.472,0.572,0.346
300890,0.493,0.569,0.346
300891,0.475,0.57,0.378
300900,0.496,0.593,0.361
300901,0.434,0.577,0.352
300912,0.464,0.579,0.353
300772,0.352,0.459,0.226
300926,0.438,0.613,0.334
300928,0.463,0.579,0.362
300929,0.425,0.554,0.34
300933,0.501,0.612,0.395
300934,0.523,0.628,0.414
300937,0.463,0.579,0.362
300938,0.354,0.456,0.275
300939,0.477,0.598,0.366
300940,0.328,0.421,0.188
300944,0.312,0.391,0.189
300773,0.334,0.446,0.201
300945,0.312,0.408,0.152
300951,0.311,0.391,0.192
300952,0.536,0.649,0.389
300953,0.312,0.385,0.239
300954,0.312,0.391,0.189
300956,0.32,0.394,0.254
300959,0.32,0.394,0.254
301724,0.382,0.489,0.311
300774,0.278,0.391,0.238
300777,0.291,0.456,0.217
20171,0.338,0.721,0.146
29462,0.492,0.615,0.382
9545,0.367,0.447,0.207
7523,0.367,0.447,0.207
29463,0.346,0.438,0.296
37009,0.405,0.485,0.312
37010,0.383,0.458,0.303
20299,0.334,0.401,0.253
342673,0.33,0.47,0.276
36340,0.341,0.631,0.176
36354,0.344,0.503,0.181
36228,0.301,0.542,0.158
40840,0.368,0.451,0.315
36438,0.23,0.351,0.143
7863,0.309,0.462,0.202
36583,0.316,0.47,0.207
903106,0.307,0.535,0.178
36225,0.341,0.628,0.182
26442,0.335,0.45,0.205
36717,0.323,0.425,0.217
36415,0.325,0.49,0.199
36251,0.303,0.524,0.175
29352,0.284,0.339,0.227
36234,0.328,0.648,0.153
26553,0.395,0.48,0.248
36291,0.23,0.351,0.166
36207,0.36,0.688,0.194
36456,0.225,0.358,0.14
40676,0.423,0.52,0.346
36344,0.322,0.526,0.173
36199,0.276,0.408,0.185
28570,0.312,0.436,0.188
36318,0.249,0.352,0.171
36194,0.276,0.408,0.185
36250,0.303,0.524,0.175
32999,0.429,0.485,0.308
36478,0.24,0.377,0.144
36633,0.368,0.531,0.21
36659,0.294,0.406,0.204
36322,0.288,0.479,0.168
36387,0.218,0.276,0.165
36243,0.293,0.513,0.165
29404,0.273,0.328,0.211
36410,0.367,0.504,0.204
29379,0.274,0.33,0.241
300966,NA,NA,NA
36588,0.316,0.471,0.207
36567,0.323,0.459,0.191
36200,0.238,0.359,0.176
29594,0.466,0.575,0.377
36665,0.323,0.399,0.222
36196,0.251,0.355,0.171
36380,0.214,0.288,0.17
36381,0.214,0.288,0.17
300850,0.532,0.623,0.419
352622,0.606,0.792,0.349
303954,0.445,0.584,0.396
26449,0.341,0.446,0.28
36854,0.394,0.51,0.272
68153,0.401,0.617,0.237
866,0.437,0.61,0.25
28549,0.307,0.592,0.172
36699,0.332,0.477,0.183
36349,0.284,0.52,0.143
40677,0.435,0.514,0.357
36721,0.356,0.506,0.21
40756,0.462,0.59,0.382
2344,0.309,0.525,0.164
555556066,0.312,0.488,0.182
29499,0.446,0.558,0.371
7517,0.324,0.443,0.179
29484,0.561,0.651,0.425
7518,0.33,0.442,0.192
670,0.411,0.55,0.307
28571,0.341,0.466,0.206
29371,0.298,0.353,0.253
40836,0.368,0.451,0.315
36501,0.314,0.522,0.152
7390,0.488,0.607,0.383
29335,NA,NA,NA
20976,0.339,0.427,0.201
555556065,0.303,0.47,0.201
37144,0.436,0.523,0.319
36185,0.216,0.331,0.155
5161,0.361,0.472,0.305
29391,0.311,0.387,0.245
555556067,0.306,0.479,0.19
2252,0.295,0.451,0.156
2578,0.44,0.641,0.358
68151,0.44,0.641,0.358
29974,0.467,0.525,0.381
36375,0.231,0.364,0.15
19277,0.418,0.527,0.307
29583,0.532,0.631,0.393
36338,0.336,0.567,0.18
36602,0.323,0.456,0.213
300732,0.246,0.34,0.153
29416,0.272,0.337,0.23
352629,0.573,0.79,0.34
36746,0.368,0.539,0.247
40865,0.438,0.558,0.363
36198,0.276,0.408,0.185
300818,0.459,0.563,0.34
36574,0.3,0.404,0.183
36913,0.372,0.425,0.333
40829,0.314,0.385,0.255
29598,0.496,0.607,0.383
36197,0.272,0.4,0.183
36473,0.237,0.363,0.139
33050,0.356,0.494,0.267
36591,0.32,0.464,0.214
36277,0.255,0.432,0.162
37146,0.339,0.427,0.201
342658,0.428,0.672,0.294
36411,0.232,0.357,0.165
303950,0.362,0.489,0.22
36599,0.319,0.495,0.223
36428,0.241,0.363,0.155
36481,0.279,0.405,0.178
36525,0.206,0.278,0.165
36731,0.346,0.462,0.237
36358,0.212,0.296,0.169
36527,0.206,0.278,0.165
36302,0.228,0.354,0.172
36189,0.216,0.331,0.155
36301,0.238,0.338,0.163
36372,0.205,0.303,0.154
29624,0.291,0.456,0.217
36326,0.247,0.372,0.159
9176,0.576,0.673,0.458
36972,NA,NA,NA
36761,0.326,0.462,0.198
7834,0.344,0.481,0.216
40830,NA,NA,NA
300893,0.375,0.459,0.321
300878,0.488,0.569,0.383
36947,0.375,0.46,0.32
300825,0.352,0.498,0.241
36824,0.352,0.498,0.241
36815,0.387,0.489,0.315
36779,0.319,0.495,0.223
36750,0.319,0.495,0.223
37032,0.251,0.367,0.208
36778,0.334,0.458,0.202
36922,0.453,0.553,0.35
36843,0.352,0.498,0.241
37000,0.294,0.399,0.239
37037,0.388,0.482,0.309
300886,0.397,0.518,0.33
36774,0.348,0.444,0.199
36805,0.391,0.514,0.306
36973,0.256,0.382,0.189
36988,0.282,0.388,0.217
36984,0.361,0.444,0.307
300883,0.388,0.494,0.324
37014,0.306,0.389,0.227
36814,0.402,0.512,0.326
300862,0.489,0.566,0.365
37025,0.401,0.478,0.337
300898,0.456,0.549,0.383
36836,0.404,0.522,0.348
36809,0.4,0.519,0.315
40799,0.42,0.532,0.324
36783,0.324,0.446,0.228
40800,0.42,0.531,0.323
40782,0.438,0.55,0.351
36632,0.355,0.529,0.211
37147,0.45,0.531,0.348
36948,0.403,0.503,0.334
342474,0.371,0.521,0.191
9033,0.525,0.712,0.405
36526,0.206,0.278,0.165
36296,0.214,0.288,0.17
7875,0.212,0.275,0.159
36285,0.246,0.397,0.156
555556057,0.333,0.66,0.196
29980,0.397,0.48,0.335
36176,0.337,0.583,0.179
36420,0.205,0.307,0.155
36369,0.205,0.303,0.154
2340,0.375,0.445,0.227
36306,0.238,0.338,0.163
29434,0.334,0.475,0.225
29408,0.336,0.46,0.26
29406,0.33,0.458,0.237
36446,0.289,0.5,0.154
36616,0.208,0.315,0.159
2333,0.61,0.841,0.339
2332,0.585,0.834,0.314
40894,0.445,0.584,0.396
2329,0.349,0.762,0.179
36244,0.299,0.517,0.167
29370,0.346,0.459,0.274
317192,0.415,0.769,0.254
903107,0.297,0.394,0.183
300680,0.36,0.613,0.205
300690,0.255,0.432,0.162
300691,0.276,0.501,0.16
300692,0.255,0.432,0.162
300693,0.228,0.357,0.155
300694,0.229,0.379,0.167
300695,0.222,0.362,0.169
300696,0.222,0.362,0.169
300697,0.222,0.362,0.169
300699,0.252,0.415,0.165
300681,0.36,0.613,0.205
300700,0.236,0.382,0.166
300701,0.234,0.373,0.167
300702,0.218,0.343,0.144
300703,0.254,0.409,0.153
300704,0.23,0.353,0.159
300705,0.228,0.349,0.143
300706,0.23,0.353,0.159
300707,0.23,0.353,0.159
300708,0.23,0.353,0.159
300709,0.236,0.313,0.184
300682,0.36,0.613,0.205
300711,0.24,0.337,0.173
300712,0.231,0.335,0.182
300713,0.21,0.277,0.157
300714,0.232,0.357,0.165
300715,0.214,0.276,0.158
300716,0.223,0.322,0.149
300717,0.213,0.274,0.161
300723,0.309,0.418,0.196
300724,0.327,0.523,0.189
300725,0.327,0.523,0.189
300728,0.303,0.421,0.152
300733,0.222,0.29,0.162
300734,0.222,0.29,0.162
300736,0.241,0.329,0.161
300740,0.225,0.27,0.16
300742,0.222,0.29,0.162
300744,0.222,0.29,0.162
300745,0.222,0.29,0.162
300746,0.222,0.29,0.162
300751,0.279,0.405,0.178
300684,0.305,0.527,0.177
300752,0.241,0.329,0.161
300757,0.323,0.459,0.212
300758,0.348,0.483,0.22
300760,0.296,0.406,0.214
300765,0.348,0.483,0.22
300766,0.294,0.406,0.204
300769,0.348,0.483,0.22
300771,0.348,0.483,0.22
300685,0.305,0.527,0.177
300799,0.348,0.51,0.241
300801,0.337,0.503,0.222
300896,0.453,0.548,0.362
300686,0.285,0.468,0.17
300906,0.453,0.548,0.362
300916,0.453,0.548,0.362
300917,0.421,0.53,0.344
300922,0.421,0.523,0.344
300687,0.231,0.326,0.163
300925,0.421,0.523,0.344
300688,0.235,0.363,0.161
303926,0.362,0.447,0.297
303927,0.362,0.447,0.297
303928,0.366,0.429,0.279
303929,NA,NA,NA
303930,NA,NA,NA
303931,NA,NA,NA
303932,NA,NA,NA
303933,0.354,0.465,0.257
352667,0.402,0.626,0.239
352690,NA,NA,NA
352606,0.578,0.778,0.348
352687,0.419,0.666,0.278
352669,0.519,0.745,0.376
352641,0.514,0.797,0.298
352647,0.531,0.785,0.282
352632,NA,NA,NA
352677,0.437,0.68,0.313
352661,0.481,0.654,0.334
352694,0.392,0.624,0.266
352637,0.565,0.788,0.327
352685,0.41,0.631,0.268
352686,0.41,0.631,0.268
352652,0.532,0.78,0.283
352688,NA,NA,NA
352620,0.587,0.763,0.357
352673,0.505,0.732,0.364
352640,0.574,0.787,0.323
352658,0.492,0.774,0.308
352615,0.622,0.849,0.342
352689,NA,NA,NA
352670,0.497,0.734,0.348
352692,NA,NA,NA
352695,0.432,0.645,0.295
352657,0.437,0.61,0.25
352638,0.548,0.821,0.302
352699,0.508,0.764,0.286
352676,0.408,0.632,0.277
352666,0.432,0.645,0.295
352663,0.506,0.762,0.286
352639,0.566,0.788,0.327
352610,0.523,0.703,0.327
352683,0.468,0.696,0.327
352672,0.432,0.645,0.295
352668,0.499,0.73,0.359
352675,0.492,0.728,0.348
352612,NA,NA,NA
352674,0.519,0.745,0.376
13930,NA,NA,NA
352649,0.535,0.766,0.313
352648,0.542,0.771,0.319
352646,0.545,0.773,0.314
352644,0.52,0.765,0.287
352660,0.501,0.706,0.321
352682,0.47,0.707,0.329
352693,0.419,0.666,0.278
352611,0.521,0.708,0.328
352635,NA,NA,NA
352653,0.543,0.772,0.32
352605,0.599,0.798,0.357
352655,0.548,0.752,0.309
352634,0.554,0.784,0.307
352659,0.478,0.641,0.288
352662,0.514,0.755,0.321
352656,0.497,0.634,0.272
352618,0.534,0.772,0.277
352626,0.512,0.642,0.34
352698,0.478,0.639,0.285
352671,0.497,0.734,0.348
352643,0.56,0.789,0.323
352696,NA,NA,NA
352697,NA,NA,NA
352636,0.534,0.786,0.285
352654,0.534,0.778,0.287
352630,NA,NA,NA
352608,0.521,0.708,0.328
352684,0.41,0.631,0.268
352679,0.475,0.7,0.351
352645,0.506,0.664,0.3
352678,0.421,0.641,0.287
352691,NA,NA,NA
352665,0.402,0.626,0.239
352642,0.528,0.776,0.283
352680,0.42,0.666,0.288
352681,0.416,0.663,0.278
352664,0.489,0.733,0.335
352651,0.534,0.778,0.287
300815,0.392,0.522,0.299
2342,0.302,0.406,0.175
29387,0.307,0.379,0.246
300779,0.291,0.456,0.217
300786,0.356,0.477,0.224
555512165,0.515,0.611,0.39
29359,0.302,0.382,0.234
36448,0.332,0.655,0.154
36610,0.367,0.504,0.204
40678,0.328,0.408,0.273
303943,0.338,0.43,0.193
40838,0.314,0.385,0.255
36267,0.305,0.527,0.177
36772,0.349,0.512,0.228
36927,0.427,0.542,0.334
3230,0.456,0.657,0.312
36218,0.35,0.707,0.154
36493,0.238,0.377,0.145
36270,0.276,0.501,0.16
36406,0.224,0.331,0.166
36424,0.238,0.282,0.199
36231,0.321,0.649,0.155
36755,0.353,0.501,0.223
36521,0.286,0.335,0.156
20975,0.331,0.423,0.188
36536,0.2,0.294,0.153
29402,0.286,0.329,0.188
26443,0.322,0.461,0.181
26444,0.34,0.499,0.185
342473,0.209,0.272,0.16
36817,0.402,0.512,0.326
29413,0.279,0.377,0.158
37148,0.436,0.523,0.319
29340,0.301,0.376,0.239
36382,0.214,0.288,0.17
36718,0.323,0.425,0.217
36901,0.253,0.379,0.19
36716,0.382,0.55,0.228
36465,0.309,0.418,0.196
36209,0.367,0.686,0.205
36485,0.238,0.377,0.145
36483,0.238,0.377,0.145
36195,0.225,0.351,0.163
36172,0.392,0.628,0.247
36208,0.364,0.692,0.178
36303,0.228,0.367,0.166
7873,0.274,0.315,0.227
36507,0.306,0.473,0.152
36395,0.205,0.28,0.153
36403,0.353,0.484,0.201
36348,0.343,0.609,0.173
36230,0.358,0.685,0.179
36614,0.364,0.515,0.191
29477,0.347,0.475,0.245
300749,0.286,0.428,0.221
36851,0.368,0.505,0.238
5153,0.287,0.397,0.165
555512168,0.329,0.445,0.265
29990,0.467,0.525,0.381
36885,0.42,0.543,0.308
36237,0.289,0.5,0.154
36912,0.359,0.408,0.26
36686,0.364,0.473,0.223
36643,0.345,0.462,0.235
36662,0.294,0.406,0.204
303937,0.292,0.414,0.162
26538,0.358,0.525,0.196
40775,0.457,0.571,0.361
36335,0.329,0.58,0.172
7844,0.272,0.379,0.209
36989,0.272,0.379,0.209
36669,0.323,0.399,0.222
36684,0.262,0.353,0.221
36258,0.303,0.524,0.175
36705,0.34,0.575,0.186
36351,0.322,0.514,0.171
36652,0.314,0.423,0.198
36370,0.205,0.303,0.154
36617,0.296,0.406,0.214
29504,0.431,0.549,0.315
40757,0.462,0.59,0.382
36271,0.276,0.501,0.16
555542335,0.425,0.5,0.333
9171,0.455,0.531,0.348
36477,0.238,0.377,0.145
36452,0.333,0.647,0.154
28537,0.307,0.571,0.16
303922,0.479,0.576,0.404
29516,0.487,0.6,0.382
36175,0.318,0.474,0.206
28563,0.356,0.482,0.217
300780,0.315,0.482,0.222
29414,0.38,0.475,0.302
29581,0.498,0.611,0.384
6950,0.326,0.498,0.184
300894,0.433,0.589,0.353
29597,0.527,0.704,0.42
