WDPAID,median,upper,lower
26501,0.441,0.822,0.21
26544,0.438,0.846,0.207
902838,0.464,0.916,0.227
95398,0.544,0.859,0.354
17367,0.334,0.953,0.086
36537,0.312,0.478,0.162
36584,0.447,0.836,0.25
36675,0.492,0.821,0.253
36563,0.312,0.485,0.15
36558,0.312,0.485,0.15
36242,0.362,0.629,0.147
33046,0.627,0.981,0.311
317051,0.384,0.815,0.172
67985,NA,NA,NA
67986,0.323,0.5,0.11
36902,0.264,0.403,0.151
2288,0.579,0.839,0.317
36579,0.412,0.695,0.229
36908,0.471,0.579,0.205
36315,0.411,0.534,0.298
36305,0.441,0.537,0.262
36308,0.441,0.537,0.262
36547,0.263,0.362,0.133
36330,0.347,0.473,0.216
36399,0.416,0.566,0.184
28528,0.403,0.822,0.117
352628,0.629,0.951,0.239
37170,0.473,0.75,0.253
3225,0.34,0.663,0.165
36337,0.371,0.667,0.095
36287,0.367,0.532,0.26
29398,0.278,0.626,0.141
555556054,0.662,1,0.085
342672,0.387,0.829,0.18
300750,0.341,0.604,0.134
29395,0.315,0.625,0.146
7870,0.359,0.522,0.182
36455,0.336,0.537,0.195
300719,0.336,0.537,0.195
37002,0.392,0.543,0.259
29620,0.341,0.604,0.134
36312,0.402,0.537,0.276
36658,0.361,0.624,0.223
36341,0.368,0.714,0.118
29632,0.618,0.821,0.382
10732,0.426,0.703,0.235
26450,0.483,0.768,0.303
7409,0.44,0.634,0.189
33149,0.503,0.753,0.321
40873,0.487,0.836,0.344
29596,0.653,0.82,0.356
36702,0.344,0.587,0.119
29629,0.641,0.855,0.363
29530,0.629,0.817,0.441
26458,NA,NA,NA
29454,0.482,0.817,0.3
29527,0.578,0.793,0.369
555558302,0.441,0.899,0.21
36026,0.358,0.688,0.189
303947,0.43,0.723,0.214
29366,0.333,0.706,0.17
300841,0.318,0.425,0.138
29399,0.278,0.626,0.141
36625,0.473,0.808,0.228
5151,0.619,0.852,0.43
36601,0.378,0.515,0.21
36873,0.531,0.868,0.305
36887,0.513,0.818,0.322
36775,0.442,0.805,0.249
300868,0.386,0.573,0.206
36489,0.333,0.576,0.128
36249,0.345,0.526,0.212
36273,0.372,0.517,0.251
36681,0.435,0.815,0.273
36276,0.378,0.528,0.259
36332,0.362,0.496,0.219
555556062,0.404,0.879,0.183
29337,0.268,0.439,0.154
29547,0.46,0.733,0.224
29426,0.305,0.658,0.161
352633,0.641,0.878,0.223
29985,0.524,0.81,0.292
3229,0.422,0.78,0.227
5165,0.339,0.74,0.121
303949,0.493,0.889,0.291
37172,0.456,0.741,0.241
37173,0.392,0.588,0.183
300767,0.469,0.759,0.277
26546,0.391,0.725,0.153
26547,0.391,0.724,0.149
28556,0.386,0.729,0.15
67824,0.368,0.729,0.174
28541,0.363,0.649,0.117
352609,0.709,0.991,0.225
36780,0.433,0.779,0.231
29437,0.319,0.544,0.18
36756,0.411,0.821,0.274
352607,0.707,0.978,0.255
29496,0.579,0.789,0.402
36891,0.502,0.886,0.227
28529,0.394,0.75,0.101
37176,0.396,0.561,0.171
29423,0.293,0.615,0.167
300727,0.329,0.604,0.135
300842,0.528,0.897,0.349
28566,0.403,0.822,0.117
29349,0.269,0.439,0.119
313425,0.432,0.831,0.224
3213,0.343,0.904,0.094
40870,0.537,0.798,0.399
36866,0.4,0.69,0.219
40788,0.499,0.76,0.334
317287,0.387,0.7,0.232
29376,0.336,0.707,0.173
7851,NA,NA,NA
37027,NA,NA,NA
40689,0.574,0.824,0.408
40760,0.583,0.813,0.463
303961,0.52,0.739,0.373
40818,0.578,0.794,0.432
40820,0.528,0.777,0.386
29566,0.506,0.859,0.353
40821,0.598,0.827,0.477
342660,0.636,0.904,0.337
36529,0.406,0.529,0.12
36893,0.475,0.857,0.328
40740,0.536,0.724,0.361
40690,0.544,0.778,0.396
36168,0.404,0.701,0.142
36771,0.446,0.828,0.274
300914,0.617,0.797,0.404
303924,0.524,0.81,0.292
342470,0.225,0.874,0.072
29438,0.381,0.791,0.16
5003,0.511,0.747,0.255
721,0.505,0.743,0.252
40875,0.495,0.834,0.348
40874,0.507,0.822,0.347
36898,0.386,0.568,0.216
36524,0.284,0.447,0.139
555556060,0.362,0.895,0.115
8516,0.489,0.763,0.256
2331,0.382,0.674,0.129
903024,0.481,0.719,0.268
555547524,0.481,0.719,0.268
36388,0.318,0.43,0.154
29451,0.289,0.491,0.185
303946,0.454,0.844,0.24
62085,NA,NA,NA
300845,0.58,0.83,0.387
40842,0.57,0.791,0.429
40822,0.543,0.778,0.413
40843,0.52,0.664,0.316
303962,0.539,0.791,0.425
40764,0.539,0.789,0.421
40823,0.511,0.739,0.358
40824,0.511,0.739,0.358
40825,0.511,0.739,0.358
300946,0.552,0.714,0.332
26530,0.374,0.686,0.145
36180,0.315,0.441,0.178
36256,0.378,0.508,0.258
36519,0.503,0.619,0.157
37001,0.382,0.514,0.237
39873,0.382,0.514,0.237
33018,0.449,0.772,0.245
33019,0.449,0.772,0.245
37179,0.554,0.876,0.297
37180,0.391,0.568,0.176
29631,0.622,0.807,0.42
29613,0.644,0.818,0.342
28543,0.402,0.747,0.168
36576,0.388,0.592,0.187
300874,0.616,0.825,0.412
37181,0.543,0.856,0.327
37182,0.544,0.859,0.354
29450,0.275,0.403,0.103
29572,0.604,0.807,0.358
555556053,0.27,0.79,0.123
29628,0.329,0.574,0.109
29619,0.341,0.604,0.134
555556052,0.482,1,0.315
29386,0.289,0.491,0.185
300748,0.341,0.604,0.134
40765,0.538,0.79,0.425
28554,0.38,0.769,0.1
28530,0.383,0.765,0.105
10741,0.603,0.918,0.361
26515,0.517,0.866,0.344
2341,0.544,0.859,0.354
29407,0.385,0.919,0.18
36495,0.328,0.535,0.171
8515,0.43,0.711,0.231
40858,0.574,0.824,0.408
28531,0.403,0.822,0.117
300876,0.632,0.808,0.39
40855,0.578,0.795,0.433
28548,0.348,0.662,0.117
33020,0.468,0.836,0.288
313422,0.414,0.783,0.238
6952,0.376,0.655,0.156
36290,0.399,0.529,0.234
36384,0.348,0.458,0.155
36366,0.261,0.385,0.143
36329,0.356,0.49,0.2
36634,0.501,0.857,0.263
28544,0.404,0.733,0.137
36733,0.36,0.671,0.206
36753,0.446,0.827,0.26
36479,0.355,0.681,0.129
26531,0.364,0.677,0.141
36259,0.378,0.528,0.259
36385,0.374,0.495,0.173
28558,0.345,0.739,0.118
36596,0.461,0.857,0.217
300798,0.431,0.676,0.2
36941,0.439,0.693,0.25
37022,0.55,0.745,0.412
7846,0.439,0.732,0.267
36940,0.455,0.695,0.267
36933,0.433,0.692,0.249
36889,0.524,0.885,0.315
36937,0.507,0.791,0.338
