WDPAID,median,upper,lower
36673,0.297,0.455,0.202
26456,0.596,0.707,0.502
36497,0.273,0.379,0.143
20978,0.324,0.491,0.212
300869,0.513,0.682,0.346
40781,0.414,0.647,0.321
26451,0.375,0.554,0.309
555547525,0.524,0.699,0.386
40766,0.45,0.633,0.328
9034,0.31,0.47,0.244
29534,0.539,0.728,0.388
40767,0.45,0.633,0.328
555547523,0.536,0.754,0.335
3214,0.536,0.754,0.335
36752,0.383,0.647,0.197
26440,0.444,0.664,0.361
36953,0.465,0.588,0.398
37021,0.471,0.563,0.384
36858,0.445,0.639,0.344
36770,0.358,0.58,0.26
36845,0.34,0.55,0.242
72350,0.246,0.304,0.179
36268,0.386,0.609,0.237
36860,0.428,0.615,0.344
300911,0.508,0.694,0.396
36562,0.2,0.334,0.14
40845,0.425,0.63,0.338
354003,0.448,0.575,0.355
36919,0.438,0.568,0.351
40672,0.469,0.641,0.363
40768,0.425,0.614,0.314
40769,0.436,0.623,0.339
36629,0.343,0.622,0.235
36921,0.474,0.611,0.375
36769,0.357,0.576,0.261
300895,0.538,0.707,0.408
37119,0.268,0.382,0.185
36729,0.421,0.629,0.207
36818,0.428,0.555,0.348
37012,0.471,0.563,0.384
37121,0.399,0.571,0.294
7957,0.351,0.575,0.235
5159,0.427,0.56,0.303
36964,0.505,0.632,0.417
36957,0.505,0.632,0.417
26454,0.596,0.707,0.502
29580,0.526,0.721,0.336
67727,0.247,0.309,0.187
9024,0.252,0.317,0.191
40792,0.449,0.634,0.353
36847,0.377,0.575,0.286
40793,0.439,0.641,0.351
36439,0.28,0.396,0.148
40691,0.471,0.608,0.399
36743,0.393,0.638,0.245
37026,0.487,0.611,0.415
36586,0.362,0.608,0.202
36476,0.284,0.418,0.14
36872,0.418,0.638,0.259
36962,0.465,0.588,0.398
36853,0.388,0.586,0.29
36945,0.444,0.609,0.361
26455,0.596,0.707,0.502
36949,0.457,0.594,0.385
36842,0.419,0.5,0.352
36834,0.402,0.495,0.349
36644,0.254,0.451,0.204
36645,0.255,0.447,0.199
36935,0.442,0.613,0.362
36841,0.412,0.533,0.357
36773,0.298,0.547,0.202
555556068,0.43,0.606,0.325
7864,0.364,0.573,0.18
36556,0.373,0.58,0.181
36253,0.319,0.478,0.224
36484,0.281,0.408,0.142
36859,0.445,0.639,0.344
37122,0.447,0.592,0.301
40747,0.468,0.643,0.35
36736,0.376,0.586,0.205
303944,0.3,0.553,0.191
36661,0.271,0.466,0.199
37123,0.442,0.59,0.265
36934,0.453,0.613,0.378
7845,0.453,0.613,0.378
300915,0.557,0.726,0.389
36538,0.196,0.289,0.136
36401,0.195,0.31,0.136
36620,0.406,0.638,0.184
40853,0.455,0.613,0.375
29520,0.366,0.463,0.217
40846,0.479,0.681,0.383
26457,0.425,0.63,0.338
37124,0.363,0.569,0.259
36654,0.277,0.485,0.202
40826,0.372,0.441,0.307
303940,0.399,0.704,0.178
67970,NA,NA,NA
2327,0.496,0.72,0.323
40860,0.437,0.647,0.329
40861,0.437,0.647,0.329
36886,0.428,0.637,0.289
37125,0.312,0.435,0.18
555558303,0.343,0.663,0.172
40673,0.492,0.691,0.39
40748,0.436,0.623,0.339
40877,0.447,0.63,0.36
26505,0.366,0.568,0.275
903104,NA,NA,NA
37034,NA,NA,NA
36823,0.339,0.485,0.275
36816,0.438,0.604,0.312
4488,0.354,0.605,0.155
9264,0.35,0.618,0.159
300881,0.499,0.67,0.367
26572,0.437,0.647,0.329
37126,0.423,0.58,0.302
37128,0.369,0.556,0.265
26463,0.443,0.628,0.37
40698,0.471,0.608,0.399
40699,0.445,0.621,0.375
36670,0.297,0.455,0.202
37129,0.313,0.485,0.211
40770,0.434,0.618,0.332
40771,0.45,0.633,0.328
40772,0.436,0.619,0.33
40749,0.468,0.643,0.35
26506,0.36,0.581,0.256
2254,0.292,0.46,0.133
37130,0.268,0.382,0.185
5160,0.279,0.387,0.166
40878,0.433,0.62,0.339
37131,0.369,0.556,0.265
36865,0.421,0.586,0.323
300960,0.366,0.463,0.217
36442,0.336,0.578,0.179
40794,0.439,0.641,0.351
36435,0.283,0.41,0.158
36929,0.442,0.575,0.36
36969,0.483,0.609,0.418
37039,0.451,0.591,0.305
40773,0.446,0.632,0.332
