name,country,designation,iucn_cat,WDPAID
Diambarakrou,CIV,Classified Forest,Not Reported,29499
Dida,BFA,Classified Forest,Not Reported,7517
Diecke,GIN,Classified Forest,Not Reported,29484
Diefoula,BFA,Classified Forest,Not Reported,7518
Digya,GHA,National Park,II,670
Dinderesso,BFA,Classified Forest,Not Reported,28571
Diogoure,GIN,Classified Forest,Not Reported,29371
Disue River,GHA,Forest Reserve,Not Reported,40836
Divana,NGA,Forest Reserve,Not Reported,36501
Divo,CIV,Botanical Reserve,Not Reported,7390
Dixinn,GIN,Classified Forest,Not Reported,29335
Djamde,TGO,Faunal Reserve,IV,20976
Djangoumerila,MLI,Wildlife Reserve,IV,555556065
Djemegni,TGO,Forest Reserve,Not Reported,37144
Djibia,NGA,Forest Reserve,Not Reported,36185
Djigbe,BEN,Classified Forest,Not Reported,5161
Djimbera Bantiguel,GIN,Classified Forest,Not Reported,29391
Djinetoumanina,MLI,Wildlife Reserve,IV,555556067
Djona,BEN,Hunting Zone,VI,2252
Djoudj National Bird Sanctuary,SEN,World Heritage Site,Not Applicable,2578
Djoudj,SEN,"Ramsar Site, Wetland of International Importance",Not Applicable,68151
Dodo Hills,SLE,Forest Reserve,Not Reported,29974
Dogan Dawa,NGA,Forest Reserve,Not Reported,36375
Dogo,BEN,Classified Forest,Not Reported,19277
Dogodou,CIV,Classified Forest,Not Reported,29583
Dogwandaji,NGA,Forest Reserve,Not Reported,36338
Doka,NGA,Forest Reserve,Not Reported,36602
Dokin,NGA,Forest Reserve,Not Reported,300732
Dokoro,GIN,Classified Forest,Not Reported,29416
Doli,SEN,Not Reported,Not Reported,352629
Doma,NGA,Forest Reserve,Not Reported,36746
Dome River,GHA,Forest Reserve,Not Reported,40865
Dono,NGA,Forest Reserve,Not Reported,36198
Dora Diaro,CIV,Classified Forest,Not Reported,300818
Doro,NGA,Forest Reserve,Not Reported,36574
Dorofi,NGA,Forest Reserve,Not Reported,36913
Draw River,GHA,Forest Reserve,Not Reported,40829
Duekoue,CIV,Classified Forest,Not Reported,29598
Duisin Bamli,NGA,Forest Reserve,Not Reported,36197
Dukku,NGA,Forest Reserve,Not Reported,36473
Dulombi,GNB,National Park,Not Reported,33050
Duma,NGA,Forest Reserve,Not Reported,36591
Dumbari Futu,NGA,Forest Reserve,Not Reported,36277
Dumbua,TGO,Forest Reserve,Not Reported,37146
Dungal,GNB,Forest Reserve,Not Reported,342658
Dungunde,NGA,Forest Reserve,Not Reported,36411
Dunwli,GHA,Forest Reserve,Not Reported,303950
Dupa,NGA,Forest Reserve,Not Reported,36599
Dusuwa,NGA,Forest Reserve,Not Reported,36428
Dutsen Amina,NGA,Forest Reserve,Not Reported,36481
Dutsen Bello,NGA,Forest Reserve,Not Reported,36525
Dutsen Kurafe,NGA,Forest Reserve,Not Reported,36731
Dutsin Dorowa,NGA,Forest Reserve,Not Reported,36358
Dutsin Gora,NGA,Forest Reserve,Not Reported,36527
Dutsin Kodawa,NGA,Forest Reserve,Not Reported,36302
Dutsin Kuba,NGA,Forest Reserve,Not Reported,36189
Dutsin Kwaita,NGA,Forest Reserve,Not Reported,36301
Duya,NGA,Forest Reserve,Not Reported,36372
Dyengele,CIV,Classified Forest,Not Reported,29624
East Anka,NGA,Forest Reserve,Not Reported,36326
East Nimba,LBR,National Park,Not Reported,9176
Eba Island,NGA,Forest Reserve,Not Reported,36972
Ebba,NGA,Forest Reserve,Not Reported,36761
Ebbe-Kampe,NGA,Game Reserve,Not Reported,7834
Ebi Shelterbelt River,GHA,Forest Reserve,Not Reported,40830
Ebor,NGA,Forest Reserve,Not Reported,300893
Ebrinenou,CIV,Classified Forest,Not Reported,300878
Ebue,NGA,Forest Reserve,Not Reported,36947
Eda 1,NGA,Forest Reserve,Not Reported,300825
Eda 2,NGA,Forest Reserve,Not Reported,36824
Ede,NGA,Forest Reserve,Not Reported,36815
Edoko Hills,NGA,Forest Reserve,Not Reported,36779
Edotsu,NGA,Forest Reserve,Not Reported,36750
Edumanom,NGA,Forest Reserve,Not Reported,37032
Efan,NGA,Forest Reserve,Not Reported,36778
Effium,NGA,Forest Reserve,Not Reported,36922
Egbe,NGA,Forest Reserve,Not Reported,36843
Egbedi Creek,NGA,Forest Reserve,Not Reported,37000
Eggua,NGA,Forest Reserve,Not Reported,37037
Ehor,NGA,Forest Reserve,Not Reported,300886
Ejidogardi,NGA,Forest Reserve,Not Reported,36774
Ejigbo,NGA,Forest Reserve,Not Reported,36805
Ejigbobini,NGA,Forest Reserve,Not Reported,36973
Ekenwan,NGA,Forest Reserve,Not Reported,36988
Ekiadolor,NGA,Forest Reserve,Not Reported,36984
Ekiadolor,NGA,Forest Reserve,Not Reported,300883
Ekiadolor,NGA,Forest Reserve,Not Reported,36984
Ekiadolor,NGA,Forest Reserve,Not Reported,300883
Ekinta River,NGA,Forest Reserve,Not Reported,37014
Eleiyele,NGA,Forest Reserve,Not Reported,36814
Elroukro,CIV,Classified Forest,Not Reported,300862
Eme River,NGA,Forest Reserve,Not Reported,37025
Enugu,NGA,Forest Reserve,Not Reported,300898
Eporo,NGA,Forest Reserve,Not Reported,36836
Eruwa,NGA,Forest Reserve,Not Reported,36809
Esen Epam,GHA,Forest Reserve,Not Reported,40799
Esie,NGA,Forest Reserve,Not Reported,36783
Esuboni For,GHA,Forest Reserve,Not Reported,40800
Esukawkaw,GHA,Forest Reserve,Not Reported,40782
Etizurugi,NGA,Forest Reserve,Not Reported,36632
Eto,TGO,Forest Reserve,Not Reported,37147
Ewohimi,NGA,Forest Reserve,Not Reported,36948
Ewun Rafia,NGA,Forest Reserve,Not Reported,342474
Fada Archei,TCD,Faunal Reserve,IV,9033
Fadaman Mada,NGA,Forest Reserve,Not Reported,36526
Fahu,NGA,Forest Reserve,Not Reported,36296
Falgore Kogin Kano,NGA,Game Reserve,IV,7875
Falomi,NGA,Forest Reserve,Not Reported,36285
Faragama,MLI,Hunting Area,VI,555556057
Farangbaia,SLE,Forest Reserve,Not Reported,29980
Farfar,NGA,Forest Reserve,Not Reported,36176
Farin Ruwa,NGA,Forest Reserve,Not Reported,36420
Fatika,NGA,Forest Reserve,Not Reported,36369
Fazao-Malfakassa,TGO,National Park,II,2340
Fefeku,NGA,Forest Reserve,Not Reported,36306
Fello-Selouma,GIN,Classified Forest,Not Reported,29434
Fello Digue,GIN,Classified Forest,Not Reported,29408
Fello Sounga,GIN,Classified Forest,Not Reported,29406
Femari,NGA,Forest Reserve,Not Reported,36446
Feri,NGA,Forest Reserve,Not Reported,36616
Ferlo-Nord,SEN,Wildlife Reserve,IV,2333
Ferlo-Sud,SEN,Wildlife Reserve,IV,2332
Fiankonya Stream,GHA,Forest Reserve,Not Reported,40894
Fina,MLI,Wildlife Reserve,IV,2329
Finukunu,NGA,Forest Reserve,Not Reported,36244
Fitacouna,GIN,Classified Forest,Not Reported,29370
Flawa,MLI,Hunting Area,VI,317192
Foge Islands,NGA,"Ramsar Site, Wetland of International Importance",Not Applicable,903107
Forest Reserve Name Unknown NGA No1,NGA,Forest Reserve,Not Reported,300680
Forest Reserve Name Unknown NGA No11,NGA,Forest Reserve,Not Reported,300690
Forest Reserve Name Unknown NGA No12,NGA,Forest Reserve,Not Reported,300691
Forest Reserve Name Unknown NGA No13,NGA,Forest Reserve,Not Reported,300692
Forest Reserve Name Unknown NGA No14,NGA,Forest Reserve,Not Reported,300693
Forest Reserve Name Unknown NGA No15,NGA,Forest Reserve,Not Reported,300694
Forest Reserve Name Unknown NGA No16,NGA,Forest Reserve,Not Reported,300695
Forest Reserve Name Unknown NGA No17,NGA,Forest Reserve,Not Reported,300696
Forest Reserve Name Unknown NGA No18,NGA,Forest Reserve,Not Reported,300697
Forest Reserve Name Unknown NGA No19,NGA,Forest Reserve,Not Reported,300699
Forest Reserve Name Unknown NGA No2,NGA,Forest Reserve,Not Reported,300681
Forest Reserve Name Unknown NGA No20,NGA,Forest Reserve,Not Reported,300700
Forest Reserve Name Unknown NGA No21,NGA,Forest Reserve,Not Reported,300701
Forest Reserve Name Unknown NGA No22,NGA,Forest Reserve,Not Reported,300702
Forest Reserve Name Unknown NGA No23,NGA,Forest Reserve,Not Reported,300703
Forest Reserve Name Unknown NGA No24,NGA,Forest Reserve,Not Reported,300704
Forest Reserve Name Unknown NGA No25,NGA,Forest Reserve,Not Reported,300705
Forest Reserve Name Unknown NGA No26,NGA,Forest Reserve,Not Reported,300706
Forest Reserve Name Unknown NGA No27,NGA,Forest Reserve,Not Reported,300707
Forest Reserve Name Unknown NGA No28,NGA,Forest Reserve,Not Reported,300708
Forest Reserve Name Unknown NGA No29,NGA,Forest Reserve,Not Reported,300709
Forest Reserve Name Unknown NGA No3,NGA,Forest Reserve,Not Reported,300682
Forest Reserve Name Unknown NGA No30,NGA,Forest Reserve,Not Reported,300711
Forest Reserve Name Unknown NGA No31,NGA,Forest Reserve,Not Reported,300712
Forest Reserve Name Unknown NGA No32,NGA,Forest Reserve,Not Reported,300713
Forest Reserve Name Unknown NGA No33,NGA,Forest Reserve,Not Reported,300714
Forest Reserve Name Unknown NGA No34,NGA,Forest Reserve,Not Reported,300715
Forest Reserve Name Unknown NGA No35,NGA,Forest Reserve,Not Reported,300716
Forest Reserve Name Unknown NGA No36,NGA,Forest Reserve,Not Reported,300717
Forest Reserve Name Unknown NGA No37,NGA,Forest Reserve,Not Reported,300723
Forest Reserve Name Unknown NGA No38,NGA,Forest Reserve,Not Reported,300724
Forest Reserve Name Unknown NGA No39,NGA,Forest Reserve,Not Reported,300725
Forest Reserve Name Unknown NGA No40,NGA,Forest Reserve,Not Reported,300728
Forest Reserve Name Unknown NGA No41,NGA,Forest Reserve,Not Reported,300733
Forest Reserve Name Unknown NGA No42,NGA,Forest Reserve,Not Reported,300734
Forest Reserve Name Unknown NGA No43,NGA,Forest Reserve,Not Reported,300736
Forest Reserve Name Unknown NGA No44,NGA,Forest Reserve,Not Reported,300740
Forest Reserve Name Unknown NGA No45,NGA,Forest Reserve,Not Reported,300742
Forest Reserve Name Unknown NGA No46,NGA,Forest Reserve,Not Reported,300744
Forest Reserve Name Unknown NGA No47,NGA,Forest Reserve,Not Reported,300745
Forest Reserve Name Unknown NGA No48,NGA,Forest Reserve,Not Reported,300746
Forest Reserve Name Unknown NGA No49,NGA,Forest Reserve,Not Reported,300751
Forest Reserve Name Unknown NGA No5,NGA,Forest Reserve,Not Reported,300684
Forest Reserve Name Unknown NGA No50,NGA,Forest Reserve,Not Reported,300752
Forest Reserve Name Unknown NGA No51,NGA,Forest Reserve,Not Reported,300757
Forest Reserve Name Unknown NGA No52,NGA,Forest Reserve,Not Reported,300758
Forest Reserve Name Unknown NGA No53,NGA,Forest Reserve,Not Reported,300760
Forest Reserve Name Unknown NGA No56,NGA,Forest Reserve,Not Reported,300765
Forest Reserve Name Unknown NGA No57,NGA,Forest Reserve,Not Reported,300766
Forest Reserve Name Unknown NGA No58,NGA,Forest Reserve,Not Reported,300769
Forest Reserve Name Unknown NGA No59,NGA,Forest Reserve,Not Reported,300771
Forest Reserve Name Unknown NGA No6,NGA,Forest Reserve,Not Reported,300685
Forest Reserve Name Unknown NGA No61,NGA,Forest Reserve,Not Reported,300799
Forest Reserve Name Unknown NGA No62,NGA,Forest Reserve,Not Reported,300801
Forest Reserve Name Unknown NGA No69,NGA,Forest Reserve,Not Reported,300896
Forest Reserve Name Unknown NGA No7,NGA,Forest Reserve,Not Reported,300686
Forest Reserve Name Unknown NGA No72,NGA,Forest Reserve,Not Reported,300906
Forest Reserve Name Unknown NGA No74,NGA,Forest Reserve,Not Reported,300916
Forest Reserve Name Unknown NGA No75,NGA,Forest Reserve,Not Reported,300917
Forest Reserve Name Unknown NGA No78,NGA,Forest Reserve,Not Reported,300922
Forest Reserve Name Unknown NGA No8,NGA,Forest Reserve,Not Reported,300687
Forest Reserve Name Unknown NGA No80,NGA,Forest Reserve,Not Reported,300925
Forest Reserve Name Unknown NGA No9,NGA,Forest Reserve,Not Reported,300688
Forest Reserve Name unknown1,SLE,Forest Reserve,Not Reported,303926
Forest Reserve Name unknown2,SLE,Forest Reserve,Not Reported,303927
Forest Reserve Name unknown3,SLE,Forest Reserve,Not Reported,303928
Forest Reserve Name unknown4,SLE,Forest Reserve,Not Reported,303929
Forest Reserve Name unknown5,SLE,Forest Reserve,Not Reported,303930
Forest Reserve Name unknown6,SLE,Forest Reserve,Not Reported,303931
Forest Reserve Name unknown7,SLE,Forest Reserve,Not Reported,303932
Forest Reserve Name unknown8,SLE,Forest Reserve,Not Reported,303933
Foret d'Essom,SEN,Forest Reserve,Not Reported,352667
Foret d'Oukout,SEN,Forest Reserve,Not Reported,352690
Foret de Amboura,SEN,Forest Reserve,Not Reported,352606
Foret de Bafata,SEN,Forest Reserve,Not Reported,352687
Foret de Bakor,SEN,Forest Reserve,Not Reported,352669
Foret de Bala- Est,SEN,Forest Reserve,Not Reported,352641
Foret de Bala- Ouest,SEN,Forest Reserve,Not Reported,352647
Foret de Bandia,SEN,Forest Reserve,Not Reported,352632
Foret de Bari,SEN,Forest Reserve,Not Reported,352677
Foret de Baria,SEN,Forest Reserve,Not Reported,352661
Foret de Bignona,SEN,Forest Reserve,Not Reported,352694
Foret de Birkelane,SEN,Forest Reserve,Not Reported,352637
Foret de Bissine,SEN,Forest Reserve,Not Reported,352685
Foret de Blaz,SEN,Forest Reserve,Not Reported,352686
Foret de Botou,SEN,Forest Reserve,Not Reported,352652
Foret de Boukitingo,SEN,Forest Reserve,Not Reported,352688
Foret de Boulierobe,SEN,Forest Reserve,Not Reported,352620
Foret de Dabo,SEN,Forest Reserve,Not Reported,352673
Foret de Delbi,SEN,Forest Reserve,Not Reported,352640
Foret de Diambour,SEN,Forest Reserve,Not Reported,352658
Foret de Diamel,SEN,Forest Reserve,Not Reported,352615
Foret de Diantene,SEN,Forest Reserve,Not Reported,352689
Foret de Diatouma,SEN,Forest Reserve,Not Reported,352670
Foret de Djibelor,SEN,Forest Reserve,Not Reported,352692
Foret de Djipakoum,SEN,Forest Reserve,Not Reported,352695
Foret de Fathala,SEN,Forest Reserve,Not Reported,352657
Foret de Goudiri,SEN,Forest Reserve,Not Reported,352638
Foret de Gouloumbou,SEN,Forest Reserve,Not Reported,352699
Foret de Kalounayes,SEN,Forest Reserve,Not Reported,352676
Foret de Kandiadiou,SEN,Forest Reserve,Not Reported,352666
Foret de Kantora,SEN,Forest Reserve,Not Reported,352663
Foret de Kassas,SEN,Forest Reserve,Not Reported,352639
Foret de Keur Momar Sarr,SEN,Forest Reserve,Not Reported,352610
Foret de Koudora,SEN,Forest Reserve,Not Reported,352683
Foret de Koulaye,SEN,Forest Reserve,Not Reported,352672
Foret de l'Anambe,SEN,Forest Reserve,Not Reported,352668
Foret de la Kayanga,SEN,Forest Reserve,Not Reported,352675
Foret de Leybar,SEN,Forest Reserve,Not Reported,352612
Foret de Mahon,SEN,Forest Reserve,Not Reported,352674
Foret de Maka-Diama,SEN,Forest Reserve,Not Reported,13930
Foret de Maka Yop-est,SEN,Forest Reserve,Not Reported,352649
Foret de Maka Yop-ouest,SEN,Forest Reserve,Not Reported,352648
Foret de Malem-Hodar,SEN,Forest Reserve,Not Reported,352646
Foret de Malem Niani,SEN,Forest Reserve,Not Reported,352644
Foret de Mambi,SEN,Forest Reserve,Not Reported,352660
Foret de Mampaye,SEN,Forest Reserve,Not Reported,352682
Foret de Mangaroungou,SEN,Forest Reserve,Not Reported,352693
Foret de Mpal,SEN,Forest Reserve,Not Reported,352611
Foret de Narangs,SEN,Forest Reserve,Not Reported,352635
Foret de Ndankou,SEN,Forest Reserve,Not Reported,352653
Foret de Ndioum Dieri,SEN,Forest Reserve,Not Reported,352605
Foret de Ngayene,SEN,Forest Reserve,Not Reported,352655
Foret de Panal,SEN,Forest Reserve,Not Reported,352634
Foret de Pane,SEN,Forest Reserve,Not Reported,352659
Foret de Pata,SEN,Forest Reserve,Not Reported,352662
Foret de Patako,SEN,Forest Reserve,Not Reported,352656
Foret de Pate,SEN,Forest Reserve,Not Reported,352618
Foret de Pire-Goureye,SEN,Forest Reserve,Not Reported,352626
Foret de Saboya,SEN,Forest Reserve,Not Reported,352698
Foret de Sadiata,SEN,Forest Reserve,Not Reported,352671
Foret de Sagna,SEN,Forest Reserve,Not Reported,352643
Foret de Sangako,SEN,Forest Reserve,Not Reported,352696
Foret de Sokone,SEN,Forest Reserve,Not Reported,352697
Foret de Tamba- Nord,SEN,Forest Reserve,Not Reported,352636
Foret de Tamba-sud,SEN,Forest Reserve,Not Reported,352654
Foret de Thies,SEN,Forest Reserve,Not Reported,352630
Foret de Tilene et Ndiaye,SEN,Forest Reserve,Not Reported,352608
Foret de Tobor,SEN,Forest Reserve,Not Reported,352684
Foret de Toutoune,SEN,Forest Reserve,Not Reported,352679
Foret de Welor,SEN,Forest Reserve,Not Reported,352645
Foret de Yassine,SEN,Forest Reserve,Not Reported,352678
Foret des Bayot,SEN,Forest Reserve,Not Reported,352691
Foret des Narangs,SEN,Forest Reserve,Not Reported,352665
Foret des Paniates,SEN,Forest Reserve,Not Reported,352642
Foret du Balmadou,SEN,Forest Reserve,Not Reported,352680
Foret du Boudie,SEN,Forest Reserve,Not Reported,352681
Foret du Guimara,SEN,Forest Reserve,Not Reported,352664
Foret du Ouli,SEN,Forest Reserve,Not Reported,352651
Foro Foro,CIV,Classified Forest,Not Reported,300815
Fosse aux Lions,TGO,National Park,II,2342
Fougoumba,GIN,Classified Forest,Not Reported,29387
Foula,CIV,Classified Forest,Not Reported,300779
Foumbou,CIV,Classified Forest,Not Reported,300786
Foya,LBR,National Park,Not Reported,555512165
Foye-Madinadian,GIN,Classified Forest,Not Reported,29359
Fuchi,NGA,Forest Reserve,Not Reported,36448
Fuka,NGA,Forest Reserve,Not Reported,36610
Fum Headwaters,GHA,Forest Reserve,Not Reported,40678
Fumbesi,GHA,Forest Reserve,Not Reported,303943
Fure River,GHA,Forest Reserve,Not Reported,40838
Gabas Mari,NGA,Forest Reserve,Not Reported,36267
Gabo Escarpment,NGA,Forest Reserve,Not Reported,36772
Gabu,NGA,Forest Reserve,Not Reported,36927
Gadabedji,NER,Faunal Reserve,IV,3230
Gadadri,NGA,Forest Reserve,Not Reported,36218
Gadam,NGA,Forest Reserve,Not Reported,36493
Gadari,NGA,Forest Reserve,Not Reported,36270
Gadau,NGA,Forest Reserve,Not Reported,36406
Gagara,NGA,Forest Reserve,Not Reported,36424
Gajiram,NGA,Forest Reserve,Not Reported,36231
Galadima,NGA,Forest Reserve,Not Reported,36755
Galambi,NGA,Forest Reserve,Not Reported,36521
Galangashie,TGO,Faunal Reserve,IV,20975
Galma,NGA,Forest Reserve,Not Reported,36536
Galy,GIN,Classified Forest,Not Reported,29402
Gambaga East,GHA,Forest Reserve,Not Reported,26443
Gambaga West I,GHA,Forest Reserve,Not Reported,26444
Gambare,NGA,Forest Reserve,Not Reported,342473
Gambari,NGA,Forest Reserve,Not Reported,36817
Gambi,GIN,Classified Forest,Not Reported,29413
Game,TGO,Forest Reserve,Not Reported,37148
Gangan,GIN,Classified Forest,Not Reported,29340
Gangara,NGA,Forest Reserve,Not Reported,36382
Gangoro,NGA,Forest Reserve,Not Reported,36718
Gangume,NGA,Forest Reserve,Not Reported,36901
Garba Shege,NGA,Forest Reserve,Not Reported,36716
Gardemna,NGA,Forest Reserve,Not Reported,36465
Garere,NGA,Forest Reserve,Not Reported,36209
Garko Meri,NGA,Forest Reserve,Not Reported,36485
Garko,NGA,Forest Reserve,Not Reported,36483
Garu Gingna,NGA,Forest Reserve,Not Reported,36195
Garu,NGA,Forest Reserve,Not Reported,36172
Garunda,NGA,Forest Reserve,Not Reported,36208
Gasartani,NGA,Forest Reserve,Not Reported,36303
Gashaka-Gumti,NGA,National Park,II,7873
Gasi,NGA,Forest Reserve,Not Reported,36507
Gauara,NGA,Forest Reserve,Not Reported,36395
Gaya,NGA,Forest Reserve,Not Reported,36403
Gayi,NGA,Forest Reserve,Not Reported,36348
Gazabure,NGA,Forest Reserve,Not Reported,36230
Gbagba,NGA,Forest Reserve,Not Reported,36614
Gban,GIN,Classified Forest,Not Reported,29477
Gbanala,CIV,Classified Forest,Not Reported,300749
Gbedege,NGA,Forest Reserve,Not Reported,36851
Gbele,GHA,Game Production Reserve,VI,5153
Gbi,LBR,National Park,Not Reported,555512168
Gboi Hills,SLE,Forest Reserve,Not Reported,29990
Gboko,NGA,Forest Reserve,Not Reported,36885
Geltur,NGA,Forest Reserve,Not Reported,36237
Gembu,NGA,Forest Reserve,Not Reported,36912
Gerkawa Hill,NGA,Forest Reserve,Not Reported,36686
Gerki,NGA,Forest Reserve,Not Reported,36643
Gerti Kloof,NGA,Forest Reserve,Not Reported,36662
Ghira,GHA,Forest Reserve,Not Reported,303937
Giah,GHA,Forest Reserve,Not Reported,26538
Gianima,GHA,Forest Reserve,Not Reported,40775
Gijia,NGA,Forest Reserve,Not Reported,36335
Gilli-Gilli,NGA,Game Reserve,IV,7844
Gilli-Gilli,NGA,Forest Reserve,Not Reported,36989
Gimi River,NGA,Forest Reserve,Not Reported,36669
Gindiri,NGA,Forest Reserve,Not Reported,36684
Girari,NGA,Forest Reserve,Not Reported,36258
Girei,NGA,Forest Reserve,Not Reported,36705
Giru,NGA,Forest Reserve,Not Reported,36351
Gitata,NGA,Forest Reserve,Not Reported,36652
Giwa North,NGA,Forest Reserve,Not Reported,36370
Giwa South,NGA,Forest Reserve,Not Reported,36617
Go Bodienou,CIV,Classified Forest,Not Reported,29504
Goa,GHA,Forest Reserve,Not Reported,40757
Gogiya,NGA,Forest Reserve,Not Reported,36271
Gola Rainforest National Park,SLE,National Park,II,555542335
Gola,LBR,National Park,Not Reported,9171
Gombe,NGA,Forest Reserve,Not Reported,36477
Gombole,NGA,Forest Reserve,Not Reported,36452
Gonse,BFA,Classified Forest,Not Reported,28537
Gori Hills,SLE,Forest Reserve,Not Reported,303922
Gorke,CIV,Classified Forest,Not Reported,29516
Goronyo,NGA,Forest Reserve,Not Reported,36175
Gouandougou,BFA,Classified Forest,Not Reported,28563
Gouari,CIV,Classified Forest,Not Reported,300780
Gouba,GIN,Classified Forest,Not Reported,29414
Goudi,CIV,Classified Forest,Not Reported,29581
Gougoun,BEN,Classified Forest,Not Reported,6950
Gouin,CIV,Classified Forest,Not Reported,300894
Goulaleu,CIV,Classified Forest,Not Reported,29597
Goulgoul-Kankande,GIN,Classified Forest,Not Reported,29355
Gourma,MLI,Partial Elephant Reserve,IV,2321
Grand Kru-River Gee,LBR,National Park,Not Reported,555512169
Grandes Chutes,GIN,Classified Forest,Not Reported,29351
Grebo,LBR,National Park,Not Reported,9170
Gubagi,NGA,Forest Reserve,Not Reported,36585
Gubaji,NGA,Forest Reserve,Not Reported,36751
Gubio,NGA,Forest Reserve,Not Reported,36229
Gudi Hill,NGA,Forest Reserve,Not Reported,36433
Guduma,NGA,Forest Reserve,Not Reported,36611
Gueltas et Oasis de l'Air,NER,"Ramsar Site, Wetland of International Importance",Not Applicable,902737
Gueme Sangan,GIN,Classified Forest,Not Reported,29356
Gueroual,GIN,Classified Forest,Not Reported,29381
Gueumbeul,SEN,"Ramsar Site, Wetland of International Importance",Not Applicable,68154
Guga,NGA,Forest Reserve,Not Reported,36367
Gugunguma,NGA,Forest Reserve,Not Reported,36282
Guidan Baure,NGA,Forest Reserve,Not Reported,36184
Guirila,GIN,Classified Forest,Not Reported,29464
Gujba,NGA,Forest Reserve,Not Reported,36431
Gujba,NGA,National Park,Not Reported,62088
Guji-Ganna,NGA,Forest Reserve,Not Reported,36235
Gulbin Ka,NGA,Forest Reserve,Not Reported,36345
Gumsi,NGA,Forest Reserve,Not Reported,36204
Gumu,NGA,Forest Reserve,Not Reported,36613
Gundulwa,NGA,Forest Reserve,Not Reported,36429
Gundumi,NGA,Forest Reserve,Not Reported,36177
Gunjur Bolonfenyo,GMB,Community Wildlife Reserve,Not Reported,555547522
Gura,NGA,Forest Reserve,Not Reported,36360
Guram River,NGA,Forest Reserve,Not Reported,36545
Gurin,NGA,Forest Reserve,Not Reported,36703
Gurmina,NGA,Forest Reserve,Not Reported,36425
Gurusu,NGA,Forest Reserve,Not Reported,36607
Gwadabawa,NGA,Forest Reserve,Not Reported,36178
Gwagwa,NGA,Forest Reserve,Not Reported,36638
Gwaiyo,NGA,Forest Reserve,Not Reported,36241
Gwana,NGA,Forest Reserve,Not Reported,36609
Gwanara,NGA,Forest Reserve,Not Reported,36575
Gwirta,NGA,Forest Reserve,Not Reported,36316
Gwiwa Korel,NGA,Forest Reserve,Not Reported,36309
Hadejia Plantation,NGA,Forest Reserve,Not Reported,36275
Hadin,NGA,Forest Reserve,Not Reported,36278
Haho-Baloe,TGO,Forest Reserve,Not Reported,37149
Haito,TGO,Forest Reserve,Not Reported,300858
Hardaali,NGA,Forest Reserve,Not Reported,36274
Haut Bandama,CIV,Fauna and Flora Reserve,Ia,1293
Haute-Komba,GIN,Classified Forest,Not Reported,29401
Haute Dodo,CIV,Classified Forest,Not Reported,29636
Hawe,TGO,Forest Reserve,Not Reported,300832
Hein,CIV,Classified Forest,Not Reported,29508
Ibadan,NGA,Forest Reserve,Not Reported,36813
Ibaji-Ojok,NGA,Forest Reserve,Not Reported,36862
Ibi,NGA,Game Reserve,Not Reported,7852
Ibi,NGA,Forest Reserve,Not Reported,36727
Idanre,NGA,Forest Reserve,Not Reported,36977
Idasu,NGA,Forest Reserve,Not Reported,36371
Idu,NGA,Forest Reserve,Not Reported,36639
Ife,NGA,Forest Reserve,Not Reported,36819
Ifon,NGA,Game Reserve,Not Reported,7463
Ifon,NGA,Forest Reserve,Not Reported,300863
Igangan,NGA,Forest Reserve,Not Reported,36801
Iggi River,NGA,Forest Reserve,Not Reported,36405
Iguobazuwa,NGA,Forest Reserve,Not Reported,36980
Ihugh,NGA,Forest Reserve,Not Reported,36914
Ijaiye,NGA,Forest Reserve,Not Reported,36807
Ijebu-Ode,NGA,Forest Reserve,Not Reported,36992
Ikebiri Creek,NGA,Forest Reserve,Not Reported,37035
Ikeji,NGA,Forest Reserve,Not Reported,36832
Ikerre,NGA,Forest Reserve,Not Reported,36828
Ikom,NGA,Forest Reserve,Not Reported,36359
Ikpeye,NGA,Forest Reserve,Not Reported,36594
Ikrigon,NGA,Forest Reserve,Not Reported,36925
Ikwe,NGA,Forest Reserve,Not Reported,36875
Ila Nigeria,NGA,Forest Reserve,Not Reported,36788
Ilaro,NGA,Forest Reserve,Not Reported,36990
Ile Alcatraz,GIN,"Ramsar Site, Wetland of International Importance",Not Applicable,67983
Ile Blanche,GIN,"Ramsar Site, Wetland of International Importance",Not Applicable,67988
Iles Ehotile,CIV,National Park,II,20174
Iles Tristao,GIN,"Ramsar Site, Wetland of International Importance",Not Applicable,67984
Ilesha,NGA,Forest Reserve,Not Reported,36793
Illela,NGA,Forest Reserve,Not Reported,36324
Illoka'oje,NGA,Forest Reserve,Not Reported,36352
Imbibnina,NGA,Forest Reserve,Not Reported,36461
Inekar,MLI,Hunting Area,VI,555556056
Inyelen,NGA,Forest Reserve,Not Reported,36944
Ipeli-Idoani,NGA,Forest Reserve,Not Reported,36838
Ipetu,NGA,Forest Reserve,Not Reported,36789
Ira,CIV,Classified Forest,Not Reported,29526
Irele,NGA,Forest Reserve,Not Reported,36974
Irite Amoli,NGA,Forest Reserve,Not Reported,36968
Irobo,CIV,Classified Forest,Not Reported,29505
Irrua-Unea,NGA,Forest Reserve,Not Reported,36930
Irrua Uromi,NGA,Forest Reserve,Not Reported,36931
Isa Zurmi,NGA,Forest Reserve,Not Reported,36182
Isanlu,NGA,Forest Reserve,Not Reported,36784
Ise,NGA,Forest Reserve,Not Reported,36826
Iseyin Central,NGA,Forest Reserve,Not Reported,36802
