name,country,designation,iucn_cat,WDPAID
Agoi,NGA,Forest Reserve,Not Reported,37012
Agou,TGO,Forest Reserve,Not Reported,37121
Agoua,BEN,Classified Forest,Not Reported,7957
Agrimey,BEN,Classified Forest,Not Reported,5159
Aguara,NGA,Forest Reserve,Not Reported,36964
Aguobu Owa,NGA,Forest Reserve,Not Reported,36957
Ahirasu Blocks I & II,GHA,Forest Reserve,Not Reported,26454
Ahua,CIV,Classified Forest,Not Reported,29580
Air and Tenere Natural Reserves,NER,World Heritage Site,Not Applicable,67727
Air and Tenere,NER,National Nature Reserve,IV,9024
Aiyaola,GHA,Forest Reserve,Not Reported,40792
Ajaokuta,NGA,Forest Reserve,Not Reported,36847
Ajenjua Bepo,GHA,Forest Reserve,Not Reported,40793
Ajigin,NGA,Forest Reserve,Not Reported,36439
Ajuesu,GHA,Forest Reserve,Not Reported,40691
Akanga,NGA,Forest Reserve,Not Reported,36743
Akanto,NGA,Forest Reserve,Not Reported,37026
Akerre,NGA,Forest Reserve,Not Reported,36586
Ako,NGA,Forest Reserve,Not Reported,36476
Akobiwho,NGA,Forest Reserve,Not Reported,36872
Akpaka,NGA,Forest Reserve,Not Reported,36962
Akpatakum,NGA,Forest Reserve,Not Reported,36853
Akpugo,NGA,Forest Reserve,Not Reported,36945
Akrobong,GHA,Forest Reserve,Not Reported,26455
Akumazi,NGA,Forest Reserve,Not Reported,36949
Akure-Ofosu,NGA,Forest Reserve,Not Reported,36842
Akure,NGA,Forest Reserve,Not Reported,36834
Akwana East,NGA,Forest Reserve,Not Reported,36644
Akwana West,NGA,Forest Reserve,Not Reported,36645
Akwari Ani,NGA,Forest Reserve,Not Reported,36935
Ala,NGA,Forest Reserve,Not Reported,36841
Alagbede,NGA,Forest Reserve,Not Reported,36773
Alata,MLI,Hunting Area,VI,555556068
Alawa,NGA,Game Reserve,Not Reported,7864
Alawa,NGA,Forest Reserve,Not Reported,36556
Albasu,NGA,Forest Reserve,Not Reported,36253
Alin Magani,NGA,Forest Reserve,Not Reported,36484
Alla,NGA,Forest Reserve,Not Reported,36859
Amakpave,TGO,Forest Reserve,Not Reported,37122
Amama Shelterbelt,GHA,Forest Reserve,Not Reported,40747
Ambakar,NGA,Forest Reserve,Not Reported,36736
Ambalalai,GHA,Forest Reserve,Not Reported,303944
Amere,NGA,Forest Reserve,Not Reported,36661
Amou-Mono,TGO,Forest Reserve,Not Reported,37123
Anambra,NGA,Forest Reserve,Not Reported,36934
Anambra,NGA,Game Reserve,Not Reported,7845
Ananguie,CIV,Classified Forest,Not Reported,300915
Anara,NGA,Forest Reserve,Not Reported,36538
Anchau West,NGA,Forest Reserve,Not Reported,36401
Anfani,NGA,Forest Reserve,Not Reported,36620
Angoben Shelterbelt,GHA,Forest Reserve,Not Reported,40853
Anguededou,CIV,Classified Forest,Not Reported,29520
Anhwiaso East,GHA,Forest Reserve,Not Reported,40846
Anhwiaso North,GHA,Forest Reserve,Not Reported,26457
Anie,TGO,Forest Reserve,Not Reported,37124
Anji,NGA,Forest Reserve,Not Reported,36654
Ankasa River,GHA,Forest Reserve,Not Reported,40826
Ankwai East,GHA,Forest Reserve,Not Reported,303940
Anlo-Keta lagoon complex,GHA,"Ramsar Site, Wetland of International Importance",Not Applicable,67970
Ansongo Menaka,MLI,Integral Wildlife Reserve,IV,2327
Anumso North,GHA,Forest Reserve,Not Reported,40860
Anumso South,GHA,Forest Reserve,Not Reported,40861
Anwo,NGA,Forest Reserve,Not Reported,36886
Aou-Mono,TGO,Forest Reserve,Not Reported,37125
Apamprama,GHA,Forest Reserve,Not Reported,40673
Aparabi Shelterbelt,GHA,Forest Reserve,Not Reported,40748
Apedua,GHA,Forest Reserve,Not Reported,40877
Apepesu River,GHA,Forest Reserve,Not Reported,26505
Apoi Creek Forests,NGA,"Ramsar Site, Wetland of International Importance",Not Applicable,903104
Apoi Creek,NGA,Forest Reserve,Not Reported,37034
Ara,NGA,Forest Reserve,Not Reported,36823
Arakanga,NGA,Forest Reserve,Not Reported,36816
Arly,BFA,Faunal Reserve,IV,4488
Arly,BFA,Partial Faunal Reserve,IV,9264
Arrah,CIV,Classified Forest,Not Reported,300881
Asonari,GHA,Forest Reserve,Not Reported,26572
Asrama,TGO,Forest Reserve,Not Reported,37126
Assime-Adeta,TGO,Forest Reserve,Not Reported,37128
Assin-Attandanso,GHA,Game Production Reserve,VI,26463
Assin Apimanim,GHA,Forest Reserve,Not Reported,40698
Assin Attandaso,GHA,Forest Reserve,Not Reported,40699
Assob Bachit,NGA,Forest Reserve,Not Reported,36670
Assoukoko,TGO,Forest Reserve,Not Reported,37129
Asubima,GHA,Forest Reserve,Not Reported,40770
Asufu Shelterbelt East,GHA,Forest Reserve,Not Reported,40771
Asufu Shelterbelt West,GHA,Forest Reserve,Not Reported,40772
Asukese,GHA,Forest Reserve,Not Reported,40749
Asuokoko River,GHA,Forest Reserve,Not Reported,26506
Atakora,BEN,Hunting Zone,VI,2254
